From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Interacts with	DOI ID	Annotation	Keywords	Keyword ID	Pfam	CDD	InterPro	NCBIfam	Protein families	PANTHER	KEGG	MEROPS	CAZy	Gene Ontology (biological process)	Gene Ontology (GO)	GeneID
C0H445	C0H445	reviewed	YPZH_BACSU	Uncharacterized protein YpzH	ypzH BSU22849	Bacillus subtilis (strain 168)	64		10.1038/36786	1.0	Reference proteome	KW-1185	PF21835;		IPR054055;				bsu:BSU22849;					8303000;
P50742	P50742	reviewed	YPHB_BACSU	Uncharacterized protein YphB	yphB BSU22850	Bacillus subtilis (strain 168)	297		10.1099/13500872-142-8-2005; 10.1038/36786	1.0	Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix	KW-1003; KW-0472; KW-1185; KW-0812; KW-1133	PF14045;		IPR025918;				bsu:BSU22850;				plasma membrane [GO:0005886]	938990;
P50741	P50741	reviewed	YPHA_BACSU	Uncharacterized protein YphA	yphA BSU22860	Bacillus subtilis (strain 168)	199		10.1099/13500872-142-8-2005; 10.1038/36786	1.0	Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix	KW-1003; KW-0472; KW-1185; KW-0812; KW-1133			IPR014617;				bsu:BSU22860;				plasma membrane [GO:0005886]	938987;
C0H446	C0H446	reviewed	YPZI_BACSU	Uncharacterized protein YpzI	ypzI BSU22869	Bacillus subtilis (strain 168)	45		10.1038/36786	1.0	Reference proteome	KW-1185	PF14140;		IPR025414;				bsu:BSU22869;					8303059;
P38492	P38492	reviewed	YPFB_BACSU	Uncharacterized protein YpfB	ypfB jofB BSU22900	Bacillus subtilis (strain 168)	58		10.1099/13500872-142-8-2005; 10.1038/36786	1.0	Reference proteome	KW-1185	PF17313;		IPR035281;				bsu:BSU22900;					938983;
P38490	P38490	reviewed	YPEB_BACSU	Sporulation protein YpeB (PSPA12)	ypeB joeB yzuA BSU22920	Bacillus subtilis (strain 168)	450		10.1099/13500872-142-8-2005; 10.1038/36786; 10.1128/jb.178.20.6059-6063.1996; 10.1016/0378-1119(88)90207-7; 10.1099/00221287-146-1-57; 10.1099/00221287-148-8-2383	3.0	Germination;Reference proteome;Sporulation	KW-0309; KW-1185; KW-0749	PF03413;PF20769;PF14620;		IPR025711;IPR048402;IPR014239;	TIGR02889;	YpeB family		bsu:BSU22920;			spore germination [GO:0009847]; sporulation resulting in formation of a cellular spore [GO:0030435]	spore germination [GO:0009847]; sporulation resulting in formation of a cellular spore [GO:0030435]	938981;
P50739	P50739	reviewed	SLEB_BACSU	Spore cortex-lytic enzyme (SCLE)	sleB ypeA BSU22930	Bacillus subtilis (strain 168)	305		10.1128/jb.178.20.6059-6063.1996; 10.1099/13500872-142-8-2005; 10.1038/36786; 10.1128/jb.181.8.2373-2378.1999; 10.1099/00221287-146-1-57	3.0	Cell wall biogenesis/degradation;Germination;Hydrolase;Reference proteome;Signal;Sporulation	KW-0961; KW-0309; KW-0378; KW-1185; KW-0732; KW-0749	PF07486;PF01471;		IPR011105;IPR002477;IPR036365;IPR036366;IPR042047;IPR014224;	TIGR02869;	SleB family		bsu:BSU22930;			cell wall organization [GO:0071555]; spore germination [GO:0009847]; sporulation resulting in formation of a cellular spore [GO:0030435]	intracellular immature spore [GO:0042763]; hydrolase activity [GO:0016787]; cell wall organization [GO:0071555]; spore germination [GO:0009847]; sporulation resulting in formation of a cellular spore [GO:0030435]	938979;
P35158	P35158	reviewed	SPMB_BACSU	Spore maturation protein B	spmB ypuK BSU23170	Bacillus subtilis (strain 168)	178		10.1111/j.1365-2958.1993.tb02670.x; 10.1038/36786; 10.1099/mic.0.027839-0; 10.1128/jb.174.6.1717-1725.1992; 10.1128/jb.177.16.4721-4729.1995	2.0	Cell membrane;Membrane;Reference proteome;Sporulation;Transmembrane;Transmembrane helix	KW-1003; KW-0472; KW-1185; KW-0749; KW-0812; KW-1133	PF07670;		IPR011642;IPR052549;		SpmB family	PTHR35793;PTHR35793:SF2;	bsu:BSU23170;			sporulation resulting in formation of a cellular spore [GO:0030435]	plasma membrane [GO:0005886]; sporulation resulting in formation of a cellular spore [GO:0030435]	938957;
P35157	P35157	reviewed	SPMA_BACSU	Spore maturation protein A	spmA ypuJ BSU23180	Bacillus subtilis (strain 168)	196		10.1111/j.1365-2958.1993.tb02670.x; 10.1128/jb.174.6.1717-1725.1992; 10.1038/36786; 10.1128/jb.177.16.4721-4729.1995	2.0	Cell membrane;Membrane;Reference proteome;Sporulation;Transmembrane;Transmembrane helix	KW-1003; KW-0472; KW-1185; KW-0749; KW-0812; KW-1133	PF07670;		IPR011642;				bsu:BSU23180;			sporulation resulting in formation of a cellular spore [GO:0030435]	plasma membrane [GO:0005886]; sporulation resulting in formation of a cellular spore [GO:0030435]	938954;
P35150	P35150	reviewed	DACB_BACSU	D-alanyl-D-alanine carboxypeptidase DacB (DD-carboxypeptidase) (DD-peptidase) (EC 3.4.16.4) (Penicillin-binding protein 5*) (PBP-5*) (Penicillin-binding protein 5a) (PBP-5a)	dacB BSU23190	Bacillus subtilis (strain 168)	382		10.1128/jb.174.6.1717-1725.1992; 10.1111/j.1365-2958.1993.tb02670.x; 10.1038/36786; 10.1042/bj2300825; 10.1128/jb.165.2.498-503.1986	4.0	3D-structure;Carboxypeptidase;Cell shape;Cell wall biogenesis/degradation;Direct protein sequencing;Hydrolase;Membrane;Peptidoglycan synthesis;Protease;Reference proteome;Signal;Sporulation	KW-0002; KW-0121; KW-0133; KW-0961; KW-0903; KW-0378; KW-0472; KW-0573; KW-0645; KW-1185; KW-0732; KW-0749	PF07943;PF00768;		IPR012338;IPR018044;IPR012907;IPR001967;		Peptidase S11 family	PTHR21581;PTHR21581:SF33;	bsu:BSU23190;	S11.004;		cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; proteolysis [GO:0006508]; regulation of cell shape [GO:0008360]; sporulation resulting in formation of a cellular spore [GO:0030435]	membrane [GO:0016020]; serine-type D-Ala-D-Ala carboxypeptidase activity [GO:0009002]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; proteolysis [GO:0006508]; regulation of cell shape [GO:0008360]; sporulation resulting in formation of a cellular spore [GO:0030435]	938953;
O32012	O32012	reviewed	YPZC_BACSU	Uncharacterized protein YpzC	ypzC BSU23320	Bacillus subtilis (strain 168)	78		10.1038/36786	1.0	Reference proteome	KW-1185							bsu:BSU23320;					938940;
O32013	O32013	reviewed	YPZD_BACSU	Spore germination protein-like protein YpzD	ypzD BSU23350	Bacillus subtilis (strain 168)	70		10.1038/36786	1.0	Reference proteome	KW-1185	PF10676;		IPR019618;		GerPA/GerPF family	PTHR37808:SF1;PTHR37808;	bsu:BSU23350;					938937;
P23630	P23630	reviewed	DCDA_BACSU	Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20)	lysA lys BSU23380	Bacillus subtilis (strain 168)	439		10.1093/nar/17.23.10105; 10.1111/j.1365-2958.1993.tb02670.x; 10.1271/bbb1961.55.1615; 10.1099/13500872-142-11-3103; 10.1038/36786	3.0	Amino-acid biosynthesis;Decarboxylase;Lyase;Lysine biosynthesis;Pyridoxal phosphate;Reference proteome	KW-0028; KW-0210; KW-0456; KW-0457; KW-0663; KW-1185	PF02784;PF00278;	cd06828;	IPR009006;IPR002986;IPR022643;IPR022657;IPR022644;IPR022653;IPR000183;IPR029066;	TIGR01048;	Orn/Lys/Arg decarboxylase class-II family, LysA subfamily	PTHR43727;PTHR43727:SF2;	bsu:BSU23380;			lysine biosynthetic process via diaminopimelate [GO:0009089]	diaminopimelate decarboxylase activity [GO:0008836]; pyridoxal phosphate binding [GO:0030170]; lysine biosynthetic process via diaminopimelate [GO:0009089]	938931;
P31845	P31845	reviewed	SP5AF_BACSU	Stage V sporulation protein AF	spoVAF BSU23390	Bacillus subtilis (strain 168)	493		10.1099/13500872-142-11-3103; 10.1038/36786; 10.1099/mic.0.027839-0; 10.1111/j.1365-2958.1993.tb02670.x; 10.1271/bbb1961.55.1615; 10.1099/00221287-131-5-1091	2.0	Cell membrane;Membrane;Reference proteome;Sporulation;Transmembrane;Transmembrane helix	KW-1003; KW-0472; KW-1185; KW-0749; KW-0812; KW-1133	PF03323;		IPR004995;IPR050768;		GerABKA family	PTHR22550;PTHR22550:SF9;	bsu:BSU23390;			spore germination [GO:0009847]; sporulation resulting in formation of a cellular spore [GO:0030435]	plasma membrane [GO:0005886]; spore germination [GO:0009847]; sporulation resulting in formation of a cellular spore [GO:0030435]	938936;
P40870	P40870	reviewed	S5AEA_BACSU	Stage V sporulation protein AE	spoVAEA spoVAE BSU23401 BSU23400	Bacillus subtilis (strain 168)	203		10.1099/00221287-131-5-1091; 10.1099/13500872-142-11-3103; 10.1038/36786; 10.1099/mic.0.027839-0	1.0	Reference proteome;Sporulation	KW-1185; KW-0749	PF14097;		IPR025914;				bsu:BSU23401;			sporulation resulting in formation of a cellular spore [GO:0030435]	sporulation resulting in formation of a cellular spore [GO:0030435]	8303022;
C0H450	C0H450	reviewed	S5AEB_BACSU	Stage V sporulation protein AEB	spoVAEB BSU23402	Bacillus subtilis (strain 168)	116		10.1038/36786	1.0	Reference proteome;Sporulation	KW-1185; KW-0749	PF03862;		IPR014204;IPR005562;	TIGR02839;		PTHR38450;PTHR38450:SF2;	bsu:BSU23402;			sporulation resulting in formation of a cellular spore [GO:0030435]	sporulation resulting in formation of a cellular spore [GO:0030435]	76982952;8303020;
P40869	P40869	reviewed	SP5AD_BACSU	Stage V sporulation protein AD	spoVAD BSU23410	Bacillus subtilis (strain 168)	338		10.1099/00221287-131-5-1091; 10.1099/13500872-142-11-3103; 10.1038/36786	2.0	3D-structure;Reference proteome;Sporulation	KW-0002; KW-1185; KW-0749	PF07451;		IPR010894;IPR038369;IPR016039;	TIGR02845;			bsu:BSU23410;			sporulation resulting in formation of a cellular spore [GO:0030435]	plasma membrane [GO:0005886]; spore wall [GO:0031160]; acyltransferase activity [GO:0016746]; sporulation resulting in formation of a cellular spore [GO:0030435]	938932;
P40868	P40868	reviewed	SP5AC_BACSU	Stage V sporulation protein AC	spoVAC BSU23420	Bacillus subtilis (strain 168)	150		10.1099/00221287-131-5-1091; 10.1099/13500872-142-11-3103; 10.1038/36786	1.0	Cell membrane;Membrane;Reference proteome;Sporulation;Transmembrane;Transmembrane helix	KW-1003; KW-0472; KW-1185; KW-0749; KW-0812; KW-1133	PF03862;		IPR014203;IPR005562;	TIGR02838;		PTHR38450:SF1;PTHR38450;	bsu:BSU23420;			sporulation resulting in formation of a cellular spore [GO:0030435]	plasma membrane [GO:0005886]; sporulation resulting in formation of a cellular spore [GO:0030435]	86873117;938733;
P40867	P40867	reviewed	SP5AB_BACSU	Stage V sporulation protein AB	spoVAB BSU23430	Bacillus subtilis (strain 168)	141		10.1099/00221287-131-5-1091; 10.1099/13500872-142-11-3103; 10.1038/36786	1.0	Cell membrane;Membrane;Reference proteome;Sporulation;Transmembrane;Transmembrane helix	KW-1003; KW-0472; KW-1185; KW-0749; KW-0812; KW-1133	PF13782;		IPR020144;				bsu:BSU23430;			sporulation resulting in formation of a cellular spore [GO:0030435]	plasma membrane [GO:0005886]; sporulation resulting in formation of a cellular spore [GO:0030435]	86873116;938933;
P40866	P40866	reviewed	SP5AA_BACSU	Stage V sporulation protein AA	spoVAA BSU23440	Bacillus subtilis (strain 168)	206		10.1099/00221287-131-5-1091; 10.1099/13500872-142-11-3103; 10.1038/36786; 10.1099/mic.0.027839-0	2.0	Cell membrane;Membrane;Reference proteome;Sporulation;Transmembrane;Transmembrane helix	KW-1003; KW-0472; KW-1185; KW-0749; KW-0812; KW-1133	PF12164;		IPR021997;IPR038548;				bsu:BSU23440;			sporulation resulting in formation of a cellular spore [GO:0030435]	plasma membrane [GO:0005886]; sporulation resulting in formation of a cellular spore [GO:0030435]	938734;
P07860	P07860	reviewed	RPSF_BACSU	RNA polymerase sigma-F factor (Sporulation sigma factor) (Stage II sporulation protein AC)	sigF spoIIAC BSU23450	Bacillus subtilis (strain 168)	255		10.1099/00221287-133-3-475; 10.1099/00221287-130-8-2147; 10.1099/13500872-142-11-3103; 10.1038/36786; 10.1016/0092-8674(93)90520-z; 10.1128/jb.178.16.5039-5041.1996; 10.1128/jb.00949-10; 10.1002/pmic.201000790	5.0	Direct protein sequencing;DNA-binding;Reference proteome;Sigma factor;Sporulation;Transcription;Transcription regulation	KW-0903; KW-0238; KW-1185; KW-0731; KW-0749; KW-0804; KW-0805	PF04542;PF04539;PF04545;	cd06171;	IPR001387;IPR014284;IPR014322;IPR014236;IPR000943;IPR007627;IPR007624;IPR007630;IPR013325;IPR013324;IPR050239;IPR036388;	TIGR02980;TIGR02937;TIGR02885;	Sigma-70 factor family	PTHR30603;PTHR30603:SF19;	bsu:BSU23450;			DNA-templated transcription initiation [GO:0006352]; sporulation resulting in formation of a cellular spore [GO:0030435]	DNA binding [GO:0003677]; sigma factor activity [GO:0016987]; DNA-templated transcription initiation [GO:0006352]; sporulation resulting in formation of a cellular spore [GO:0030435]	938729;
P10728	P10728	reviewed	SP2AB_BACSU	Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)	spoIIAB BSU23460	Bacillus subtilis (strain 168)	146	O31435	10.1099/00221287-130-8-2147; 10.1099/13500872-142-11-3103; 10.1038/36786; 10.1073/pnas.90.6.2325; 10.1016/0092-8674(93)90520-z	5.0	ATP-binding;Direct protein sequencing;Kinase;Nucleotide-binding;Reference proteome;Serine/threonine-protein kinase;Sporulation;Transferase	KW-0067; KW-0903; KW-0418; KW-0547; KW-1185; KW-0723; KW-0749; KW-0808	PF13581;		IPR050267;IPR010194;IPR036890;IPR003594;	TIGR01925;	Anti-sigma-factor family	PTHR35526:SF3;PTHR35526;	bsu:BSU23460;			asexual sporulation [GO:0030436]; negative regulation of sporulation resulting in formation of a cellular spore [GO:0042174]; sporulation resulting in formation of a cellular spore [GO:0030435]	3-phosphoinositide-dependent protein kinase activity [GO:0004676]; AMP-activated protein kinase activity [GO:0004679]; ATP binding [GO:0005524]; DNA-dependent protein kinase activity [GO:0004677]; histone H2AS1 kinase activity [GO:0044024]; histone H2AS121 kinase activity [GO:0072371]; histone H2AT120 kinase activity [GO:1990244]; histone H2AXS139 kinase activity [GO:0035979]; histone H2BS14 kinase activity [GO:0044025]; histone H2BS36 kinase activity [GO:0140823]; histone H3S10 kinase activity [GO:0035175]; histone H3S28 kinase activity [GO:0044022]; histone H3S57 kinase activity [GO:0140855]; histone H3T11 kinase activity [GO:0035402]; histone H3T3 kinase activity [GO:0072354]; histone H3T45 kinase activity [GO:0140857]; histone H3T6 kinase activity [GO:0035403]; histone H4S1 kinase activity [GO:0044023]; protein serine kinase activity [GO:0106310]; Rho-dependent protein serine/threonine kinase activity [GO:0072518]; ribosomal protein S6 kinase activity [GO:0004711]; sigma factor antagonist activity [GO:0016989]; asexual sporulation [GO:0030436]; negative regulation of sporulation resulting in formation of a cellular spore [GO:0042174]; sporulation resulting in formation of a cellular spore [GO:0030435]	938930;
P10727	P10727	reviewed	SP2AA_BACSU	Anti-sigma F factor antagonist (Stage II sporulation protein AA)	spoIIAA BSU23470	Bacillus subtilis (strain 168)	117		10.1099/00221287-130-8-2147; 10.1099/13500872-142-11-3103; 10.1038/36786; 10.1128/jb.174.15.4885-4892.1992; 10.1016/0092-8674(93)90520-z; 10.1128/jb.177.10.2912-2913.1995; 10.1073/pnas.95.9.5067	4.0	3D-structure;Direct protein sequencing;Phosphoprotein;Reference proteome;Sporulation	KW-0002; KW-0903; KW-0597; KW-1185; KW-0749	PF01740;		IPR003658;IPR014237;IPR002645;IPR036513;	TIGR00377;TIGR02886;	Anti-sigma-factor antagonist family	PTHR33495:SF2;PTHR33495;	bsu:BSU23470;			sporulation resulting in formation of a cellular spore [GO:0030435]	anti-sigma factor antagonist activity [GO:0043856]; antisigma factor binding [GO:0045152]; sporulation resulting in formation of a cellular spore [GO:0030435]	938730;
P38422	P38422	reviewed	DACF_BACSU	D-alanyl-D-alanine carboxypeptidase DacF (DD-carboxypeptidase) (DD-peptidase) (EC 3.4.16.4) (Penicillin-binding protein DacF) (PBP)	dacF BSU23480	Bacillus subtilis (strain 168)	389		10.1128/jb.174.15.4885-4892.1992; 10.1099/13500872-142-11-3103; 10.1038/36786	3.0	Carboxypeptidase;Cell shape;Cell wall biogenesis/degradation;Hydrolase;Peptidoglycan synthesis;Protease;Reference proteome;Secreted;Signal	KW-0121; KW-0133; KW-0961; KW-0378; KW-0573; KW-0645; KW-1185; KW-0964; KW-0732	PF07943;PF00768;		IPR012338;IPR015956;IPR018044;IPR012907;IPR037167;IPR001967;		Peptidase S11 family	PTHR21581;PTHR21581:SF6;	bsu:BSU23480;	S11.005;		cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; proteolysis [GO:0006508]; regulation of cell shape [GO:0008360]	extracellular region [GO:0005576]; serine-type D-Ala-D-Ala carboxypeptidase activity [GO:0009002]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; proteolysis [GO:0006508]; regulation of cell shape [GO:0008360]	938732;
P37873	P37873	reviewed	SP2M_BACSU	Stage II sporulation protein M	spoIIM BSU23530	Bacillus subtilis (strain 168)	214		10.1128/jb.175.11.3607-3617.1993; 10.1099/13500872-142-11-3103; 10.1038/36786; 10.1101/gad.1039902; 10.1111/j.1365-2958.2007.05652.x	4.0	Cell membrane;Membrane;Reference proteome;Sporulation;Transmembrane;Transmembrane helix	KW-1003; KW-0472; KW-1185; KW-0749; KW-0812; KW-1133	PF01944;		IPR014196;IPR002798;	TIGR02831;			bsu:BSU23530;			positive regulation of cell septum assembly [GO:1901893]; regulation of sporulation resulting in formation of a cellular spore [GO:0042173]; sporulation resulting in formation of a cellular spore [GO:0030435]	cell septum [GO:0030428]; plasma membrane [GO:0005886]; positive regulation of cell septum assembly [GO:1901893]; regulation of sporulation resulting in formation of a cellular spore [GO:0042173]; sporulation resulting in formation of a cellular spore [GO:0030435]	938723;
L8EBJ9	L8EBJ9	reviewed	MCIZ_BACSU	Cell division inhibitor MciZ (FtsZ assembly inhibitor) (Mother cell inhibitor of FtsZ)	mciZ BSU_23616	Bacillus subtilis (strain 168)	40		10.1038/36786; 10.1111/j.1365-2958.2008.06173.x; 10.1021/bi301237m; 10.1073/pnas.1414242112	3.0	3D-structure;Reference proteome;Sporulation	KW-0002; KW-1185; KW-0749	PF13072;		IPR025177;							sporulation resulting in formation of a cellular spore [GO:0030435]	sporulation resulting in formation of a cellular spore [GO:0030435]	
P54540	P54540	reviewed	YQJC_BACSU	Uncharacterized protein YqjC	yqjC BSU23930	Bacillus subtilis (strain 168)	140		10.1099/13500872-142-11-3103; 10.1038/36786; 10.1099/mic.0.027839-0	2.0	Lyase;Metal-binding;Reference proteome	KW-0456; KW-0479; KW-1185	PF13669;	cd07249;	IPR029068;IPR018146;IPR017515;IPR051785;IPR037523;	TIGR03081;	Methylmalonyl-CoA epimerase family	PTHR43048;PTHR43048:SF3;	bsu:BSU23930;			L-methylmalonyl-CoA metabolic process [GO:0046491]	lactoylglutathione lyase activity [GO:0004462]; metal ion binding [GO:0046872]; methylmalonyl-CoA epimerase activity [GO:0004493]; L-methylmalonyl-CoA metabolic process [GO:0046491]	938689;
P54539	P54539	reviewed	YQJB_BACSU	Putative L,D-transpeptidase YqjB (EC 2.-.-.-)	yqjB BSU23940	Bacillus subtilis (strain 168)	176		10.1099/13500872-142-11-3103; 10.1038/36786	2.0	Cell shape;Cell wall biogenesis/degradation;Glycosyltransferase;Hydrolase;Peptidoglycan synthesis;Reference proteome;Signal;Transferase	KW-0133; KW-0961; KW-0328; KW-0378; KW-0573; KW-1185; KW-0732; KW-0808	PF03734;	cd16913;	IPR050979;IPR005490;IPR038063;		YkuD family	PTHR30582;PTHR30582:SF4;	bsu:BSU23940;			cell wall organization [GO:0071555]; peptidoglycan-protein cross-linking [GO:0018104]; regulation of cell shape [GO:0008360]	glycosyltransferase activity [GO:0016757]; peptidoglycan L,D-transpeptidase activity [GO:0071972]; cell wall organization [GO:0071555]; peptidoglycan-protein cross-linking [GO:0018104]; regulation of cell shape [GO:0008360]	938684;
P54528	P54528	reviewed	MMGF_BACSU	2-methylisocitrate lyase (2-MIC) (MICL) (EC 4.1.3.-)	mmgF prpB yqiQ BSU24120	Bacillus subtilis (strain 168)	301		10.1099/13500872-142-11-3103; 10.1038/36786; 10.1021/acs.biochem.7b00778	3.0	Lyase;Magnesium;Metal-binding;Reference proteome	KW-0456; KW-0460; KW-0479; KW-1185	PF13714;	cd00377;	IPR039556;IPR018523;IPR012695;IPR015813;IPR040442;	TIGR02317;	Isocitrate lyase/PEP mutase superfamily, Methylisocitrate lyase family	PTHR42905:SF5;PTHR42905;	bsu:BSU24120;			propionate catabolic process, 2-methylcitrate cycle [GO:0019629]	metal ion binding [GO:0046872]; methylisocitrate lyase activity [GO:0046421]; propionate catabolic process, 2-methylcitrate cycle [GO:0019629]	938668;
P45859	P45859	reviewed	MMGE_BACSU	Citrate/2-methylcitrate dehydratase (EC 4.2.1.-)	mmgE prpD yqiP BSU24130	Bacillus subtilis (strain 168)	472		10.1099/13500872-142-11-3103; 10.1038/36786; 10.1099/mic.0.027839-0; 10.1128/jb.178.16.4778-4786.1996; 10.1021/acs.biochem.7b00778	3.0	3D-structure;Lyase;Reference proteome;Sporulation;Tricarboxylic acid cycle	KW-0002; KW-0456; KW-1185; KW-0749; KW-0816	PF19305;PF03972;		IPR012705;IPR036148;IPR042183;IPR042188;IPR005656;IPR045337;IPR045336;	TIGR02330;	PrpD family	PTHR16943:SF8;PTHR16943;	bsu:BSU24130;			propionate metabolic process, methylcitrate cycle [GO:0019679]; sporulation resulting in formation of a cellular spore [GO:0030435]; tricarboxylic acid cycle [GO:0006099]	2 iron, 2 sulfur cluster binding [GO:0051537]; 2-methylcitrate dehydratase activity [GO:0047547]; propionate metabolic process, methylcitrate cycle [GO:0019679]; sporulation resulting in formation of a cellular spore [GO:0030435]; tricarboxylic acid cycle [GO:0006099]	938663;
P45858	P45858	reviewed	MMGD_BACSU	Citrate/2-methylcitrate synthase (EC 2.3.3.-) (EC 2.3.3.16) (2-methylcitrate synthase) (2-MCS) (MCS) (Citrate synthase)	mmgD yqiO BSU24140	Bacillus subtilis (strain 168)	372		10.1128/jb.178.16.4778-4786.1996; 10.1099/13500872-142-11-3103; 10.1038/36786; 10.1021/acs.biochem.7b00778	4.0	Reference proteome;Sporulation;Transferase;Tricarboxylic acid cycle	KW-1185; KW-0749; KW-0808; KW-0816	PF00285;	cd06118;	IPR016142;IPR016143;IPR002020;IPR019810;IPR024176;IPR036969;		Citrate synthase family	PTHR11739;PTHR11739:SF11;	bsu:BSU24140;			carbohydrate metabolic process [GO:0005975]; propionate metabolic process, methylcitrate cycle [GO:0019679]; sporulation resulting in formation of a cellular spore [GO:0030435]; tricarboxylic acid cycle [GO:0006099]	2-methylcitrate synthase activity [GO:0050440]; citrate (Si)-synthase activity [GO:0004108]; citrate synthase activity [GO:0036440]; carbohydrate metabolic process [GO:0005975]; propionate metabolic process, methylcitrate cycle [GO:0019679]; sporulation resulting in formation of a cellular spore [GO:0030435]; tricarboxylic acid cycle [GO:0006099]	938665;
P45857	P45857	reviewed	ACDB_BACSU	Acyl-CoA dehydrogenase (EC 1.3.99.-)	mmgC yqiN BSU24150	Bacillus subtilis (strain 168)	379		10.1128/jb.178.16.4778-4786.1996; 10.1099/13500872-142-11-3103; 10.1038/36786; 10.1099/mic.0.027839-0	2.0	3D-structure;FAD;Flavoprotein;Oxidoreductase;Reference proteome;Sporulation	KW-0002; KW-0274; KW-0285; KW-0560; KW-1185; KW-0749	PF00441;PF02770;PF02771;	cd01158;	IPR006089;IPR006091;IPR046373;IPR036250;IPR009075;IPR013786;IPR037069;IPR009100;		Acyl-CoA dehydrogenase family	PTHR43884;PTHR43884:SF12;	bsu:BSU24150;			fatty acid beta-oxidation using acyl-CoA dehydrogenase [GO:0033539]; sporulation resulting in formation of a cellular spore [GO:0030435]	cytoplasm [GO:0005737]; acyl-CoA dehydrogenase activity [GO:0003995]; flavin adenine dinucleotide binding [GO:0050660]; fatty acid beta-oxidation using acyl-CoA dehydrogenase [GO:0033539]; sporulation resulting in formation of a cellular spore [GO:0030435]	938664;
P45856	P45856	reviewed	HBD_BACSU	Probable 3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157) (Beta-hydroxybutyryl-CoA dehydrogenase) (BHBD)	mmgB yqiM BSU24160	Bacillus subtilis (strain 168)	287		10.1128/jb.178.16.4778-4786.1996; 10.1099/13500872-142-11-3103; 10.1038/36786; 10.1099/mic.0.027839-0	3.0	Fatty acid metabolism;Lipid metabolism;NADP;Oxidoreductase;Reference proteome;Sporulation	KW-0276; KW-0443; KW-0521; KW-0560; KW-1185; KW-0749	PF00725;PF02737;		IPR022694;IPR006180;IPR006176;IPR006108;IPR008927;IPR013328;IPR036291;		3-hydroxyacyl-CoA dehydrogenase family	PTHR48075;PTHR48075:SF5;	bsu:BSU24160;			butyrate metabolic process [GO:0019605]; catabolic process [GO:0009056]; sporulation resulting in formation of a cellular spore [GO:0030435]	3-hydroxybutyryl-CoA dehydrogenase activity [GO:0008691]; NAD+ binding [GO:0070403]; oxidoreductase activity [GO:0016491]; butyrate metabolic process [GO:0019605]; catabolic process [GO:0009056]; sporulation resulting in formation of a cellular spore [GO:0030435]	938660;
P45855	P45855	reviewed	THL_BACSU	Acetyl-CoA acetyltransferase (EC 2.3.1.9) (Acetoacetyl-CoA thiolase)	mmgA yqiL BSU24170	Bacillus subtilis (strain 168)	393		10.1128/jb.178.16.4778-4786.1996; 10.1099/13500872-142-11-3103; 10.1038/36786	3.0	3D-structure;Acyltransferase;Cytoplasm;Reference proteome;Sporulation;Transferase	KW-0002; KW-0012; KW-0963; KW-1185; KW-0749; KW-0808	PF02803;PF00108;	cd00751;	IPR002155;IPR016039;IPR020615;IPR020610;IPR020617;IPR020613;IPR020616;	TIGR01930;	Thiolase-like superfamily, Thiolase family	PTHR18919:SF107;PTHR18919;	bsu:BSU24170;			sporulation resulting in formation of a cellular spore [GO:0030435]	cytoplasm [GO:0005737]; acetyl-CoA C-acetyltransferase activity [GO:0003985]; sporulation resulting in formation of a cellular spore [GO:0030435]	938662;
