Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Interacts with	DOI ID	Annotation	Keywords	Keyword ID	Pfam	CDD	InterPro	NCBIfam	Protein families	PANTHER	KEGG	MEROPS	CAZy	Gene Ontology (biological process)	Gene Ontology (GO)	GeneID
Q10411	reviewed	SPO15_SCHPO	Sporulation-specific protein 15	spo15 SPAC1F3.06c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	1957		10.1242/jcs.113.3.545; 10.1038/nature724; 10.1046/j.1365-2443.2000.00317.x; 10.1242/jcs.01629; 10.1021/pr7006335	4.0	Coiled coil;Cytoplasm;Cytoskeleton;Phosphoprotein;Reference proteome;Sporulation	KW-0175; KW-0963; KW-0206; KW-0597; KW-1185; KW-0749					MPC70 family	PTHR23159;PTHR23159:SF31;	spo:2541649;			ascospore-type prospore-specific spindle pole body remodeling [GO:0031322]	cytoplasm [GO:0005737]; meiotic spindle pole body [GO:0035974]; mitotic spindle pole body [GO:0044732]; ascospore-type prospore-specific spindle pole body remodeling [GO:0031322]	2541649;
Q2HDL4	reviewed	LAEA_CHAGB	Protein-methionine methyltransferase laeA (EC 2.1.1.-) (Secondary metabolism regulator laeA) (Velvet complex subunit laeA)	laeA CHGG_01690	Chaetomium globosum (strain ATCC 6205 / CBS 148.51 / DSM 1962 / NBRC 6347 / NRRL 1970) (Soil fungus)	319		10.1128/genomea.00021-15; 10.1016/j.funbio.2020.11.008; 10.1016/j.synbio.2022.07.002	4.0	Methyltransferase;Nucleus;Reference proteome;S-adenosyl-L-methionine;Sporulation;Transcription;Transcription regulation;Transferase;Virulence	KW-0489; KW-0539; KW-1185; KW-0949; KW-0749; KW-0804; KW-0805; KW-0808; KW-0843			IPR029063;		Methyltransferase superfamily, LaeA methyltransferase family					methylation [GO:0032259]; sporulation resulting in formation of a cellular spore [GO:0030435]	nucleus [GO:0005634]; methyltransferase activity [GO:0008168]; methylation [GO:0032259]; sporulation resulting in formation of a cellular spore [GO:0030435]	4388112;
Q45757	reviewed	CR6AA_BACTU	Pesticidal crystal protein Cry6Aa (Crystaline entomocidal protoxin) (Crystal protein) (Insecticidal delta-endotoxin CryVIA(a))	cry6Aa cryVIa cryVIA(a)	Bacillus thuringiensis	475		10.1371/journal.ppat.1005389; 10.1186/s12915-016-0295-9; 10.1016/j.bbrc.2016.07.002	4.0	3D-structure;Disulfide bond;Host cell membrane;Host membrane;Membrane;Secreted;Sporulation;Toxin;Virulence	KW-0002; KW-1015; KW-1032; KW-1043; KW-0472; KW-0964; KW-0749; KW-0800; KW-0843		cd22656;		NF033928;	Cry6A endotoxin family					killing of cells of another organism [GO:0031640]; sporulation resulting in formation of a cellular spore [GO:0030435]	extracellular region [GO:0005576]; host cell plasma membrane [GO:0020002]; membrane [GO:0016020]; toxin activity [GO:0090729]; killing of cells of another organism [GO:0031640]; sporulation resulting in formation of a cellular spore [GO:0030435]	
Q5AM60	reviewed	CHI4_CANAL	Chitinase 4 (EC 3.2.1.14)	CHT4 CAALFM_C202010CA CaO19.1515 CaO19.9090	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	388		10.1073/pnas.0401648101; 10.1186/gb-2007-8-4-r52; 10.1186/gb-2013-14-9-r97; 10.1016/j.micres.2008.08.005	4.0	Carbohydrate metabolism;Chitin degradation;Chitin-binding;Glycoprotein;Glycosidase;Hydrolase;Polysaccharide degradation;Reference proteome;Secreted;Sporulation	KW-0119; KW-0146; KW-0147; KW-0325; KW-0326; KW-0378; KW-0624; KW-1185; KW-0964; KW-0749	PF00704;	cd06548;	IPR011583;IPR029070;IPR001223;IPR001579;IPR017853;IPR050314;		Glycosyl hydrolase 18 family, Chitinase class V subfamily	PTHR11177;PTHR11177:SF317;	cal:CAALFM_C202010CA;			chitin catabolic process [GO:0006032]; polysaccharide catabolic process [GO:0000272]; sporulation resulting in formation of a cellular spore [GO:0030435]	extracellular region [GO:0005576]; chitin binding [GO:0008061]; chitinase activity [GO:0004568]; endochitinase activity [GO:0008843]; chitin catabolic process [GO:0006032]; polysaccharide catabolic process [GO:0000272]; sporulation resulting in formation of a cellular spore [GO:0030435]	3635768;
Q5ATP7	reviewed	PHIA_EMENI	Cell wall protein phiA (Bafilomycin-induced protein B) (Phialide development protein A)	phiA binB ANIA_08333	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)	182		10.1016/s1087-1845(03)00108-7; 10.1038/nature04341; 10.1016/j.fgb.2008.12.003; 10.1099/13500872-145-5-1115; 10.1007/s00438-002-0695-0	4.0	Cell wall;Glycoprotein;Reference proteome;Secreted;Signal;Sporulation	KW-0134; KW-0325; KW-1185; KW-0964; KW-0732; KW-0749					PhiA family		ani:ANIA_08333;			conidiophore development [GO:0070787]; phialide development [GO:0070790]; sexual sporulation resulting in formation of a cellular spore [GO:0043935]; sporocarp development involved in asexual reproduction [GO:0000905]	extracellular region [GO:0005576]; conidiophore development [GO:0070787]; phialide development [GO:0070790]; sexual sporulation resulting in formation of a cellular spore [GO:0043935]; sporocarp development involved in asexual reproduction [GO:0000905]	2868754;
Q5BBM1	reviewed	VELC_EMENI	Sexual development regulator velC	velC ANIA_02059	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)	524		10.1371/journal.pone.0089883; 10.1038/nature04341; 10.1016/j.fgb.2008.12.003	4.0	Nucleus;Reference proteome;Sporulation;Transcription;Transcription regulation	KW-0539; KW-1185; KW-0749; KW-0804; KW-0805	PF11754;		IPR021740;IPR037525;IPR038491;		Velvet family, VelC subfamily	PTHR33572:SF17;PTHR33572;	ani:ANIA_02059;			regulation of asexual sporulation resulting in formation of a cellular spore [GO:0043943]; regulation of sexual sporulation resulting in formation of a cellular spore [GO:0043940]; sporulation resulting in formation of a cellular spore [GO:0030435]	nucleus [GO:0005634]; regulation of asexual sporulation resulting in formation of a cellular spore [GO:0043943]; regulation of sexual sporulation resulting in formation of a cellular spore [GO:0043940]; sporulation resulting in formation of a cellular spore [GO:0030435]	2874984;
Q5KXJ2	reviewed	SP2AB_GEOKA	Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)	spoIIAB GK2309	Geobacillus kaustophilus (strain HTA426)	146		10.1093/nar/gkh970	4.0	ATP-binding;Kinase;Nucleotide-binding;Reference proteome;Serine/threonine-protein kinase;Sporulation;Transferase	KW-0067; KW-0418; KW-0547; KW-1185; KW-0723; KW-0749; KW-0808	PF13581;	cd16942;	IPR050267;IPR010194;IPR036890;IPR003594;	TIGR01925;	Anti-sigma-factor family	PTHR35526:SF3;PTHR35526;	gka:GK2309;			asexual sporulation [GO:0030436]; negative regulation of sporulation resulting in formation of a cellular spore [GO:0042174]; sporulation resulting in formation of a cellular spore [GO:0030435]	3-phosphoinositide-dependent protein kinase activity [GO:0004676]; AMP-activated protein kinase activity [GO:0004679]; ATP binding [GO:0005524]; DNA-dependent protein kinase activity [GO:0004677]; histone H2AS1 kinase activity [GO:0044024]; histone H2AS121 kinase activity [GO:0072371]; histone H2AT120 kinase activity [GO:1990244]; histone H2AXS139 kinase activity [GO:0035979]; histone H2BS14 kinase activity [GO:0044025]; histone H2BS36 kinase activity [GO:0140823]; histone H3S10 kinase activity [GO:0035175]; histone H3S28 kinase activity [GO:0044022]; histone H3S57 kinase activity [GO:0140855]; histone H3T11 kinase activity [GO:0035402]; histone H3T3 kinase activity [GO:0072354]; histone H3T45 kinase activity [GO:0140857]; histone H3T6 kinase activity [GO:0035403]; histone H4S1 kinase activity [GO:0044023]; protein serine kinase activity [GO:0106310]; Rho-dependent protein serine/threonine kinase activity [GO:0072518]; ribosomal protein S6 kinase activity [GO:0004711]; sigma factor antagonist activity [GO:0016989]; asexual sporulation [GO:0030436]; negative regulation of sporulation resulting in formation of a cellular spore [GO:0042174]; sporulation resulting in formation of a cellular spore [GO:0030435]	32064158;
Q5WH26	reviewed	SP2AB_SHOC1	Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)	spoIIAB ABC1794	Shouchella clausii (strain KSM-K16) (Alkalihalobacillus clausii)	146			4.0	ATP-binding;Kinase;Nucleotide-binding;Reference proteome;Serine/threonine-protein kinase;Sporulation;Transferase	KW-0067; KW-0418; KW-0547; KW-1185; KW-0723; KW-0749; KW-0808	PF13581;		IPR050267;IPR010194;IPR036890;IPR003594;	TIGR01925;	Anti-sigma-factor family	PTHR35526:SF3;PTHR35526;	bcl:ABC1794;			asexual sporulation [GO:0030436]; negative regulation of sporulation resulting in formation of a cellular spore [GO:0042174]; sporulation resulting in formation of a cellular spore [GO:0030435]	3-phosphoinositide-dependent protein kinase activity [GO:0004676]; AMP-activated protein kinase activity [GO:0004679]; ATP binding [GO:0005524]; DNA-dependent protein kinase activity [GO:0004677]; histone H2AS1 kinase activity [GO:0044024]; histone H2AS121 kinase activity [GO:0072371]; histone H2AT120 kinase activity [GO:1990244]; histone H2AXS139 kinase activity [GO:0035979]; histone H2BS14 kinase activity [GO:0044025]; histone H2BS36 kinase activity [GO:0140823]; histone H3S10 kinase activity [GO:0035175]; histone H3S28 kinase activity [GO:0044022]; histone H3S57 kinase activity [GO:0140855]; histone H3T11 kinase activity [GO:0035402]; histone H3T3 kinase activity [GO:0072354]; histone H3T45 kinase activity [GO:0140857]; histone H3T6 kinase activity [GO:0035403]; histone H4S1 kinase activity [GO:0044023]; protein serine kinase activity [GO:0106310]; Rho-dependent protein serine/threonine kinase activity [GO:0072518]; ribosomal protein S6 kinase activity [GO:0004711]; sigma factor antagonist activity [GO:0016989]; asexual sporulation [GO:0030436]; negative regulation of sporulation resulting in formation of a cellular spore [GO:0042174]; sporulation resulting in formation of a cellular spore [GO:0030435]	
Q635K7	reviewed	SP2AB_BACCZ	Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)	spoIIAB BCE33L3830	Bacillus cereus (strain ZK / E33L)	146		10.1128/jb.188.9.3382-3390.2006	4.0	ATP-binding;Kinase;Nucleotide-binding;Serine/threonine-protein kinase;Sporulation;Transferase	KW-0067; KW-0418; KW-0547; KW-0723; KW-0749; KW-0808	PF13581;		IPR050267;IPR010194;IPR036890;IPR003594;	TIGR01925;	Anti-sigma-factor family	PTHR35526:SF3;PTHR35526;	bcz:BCE33L3830;			asexual sporulation [GO:0030436]; negative regulation of sporulation resulting in formation of a cellular spore [GO:0042174]; sporulation resulting in formation of a cellular spore [GO:0030435]	3-phosphoinositide-dependent protein kinase activity [GO:0004676]; AMP-activated protein kinase activity [GO:0004679]; ATP binding [GO:0005524]; DNA-dependent protein kinase activity [GO:0004677]; histone H2AS1 kinase activity [GO:0044024]; histone H2AS121 kinase activity [GO:0072371]; histone H2AT120 kinase activity [GO:1990244]; histone H2AXS139 kinase activity [GO:0035979]; histone H2BS14 kinase activity [GO:0044025]; histone H2BS36 kinase activity [GO:0140823]; histone H3S10 kinase activity [GO:0035175]; histone H3S28 kinase activity [GO:0044022]; histone H3S57 kinase activity [GO:0140855]; histone H3T11 kinase activity [GO:0035402]; histone H3T3 kinase activity [GO:0072354]; histone H3T45 kinase activity [GO:0140857]; histone H3T6 kinase activity [GO:0035403]; histone H4S1 kinase activity [GO:0044023]; protein serine kinase activity [GO:0106310]; Rho-dependent protein serine/threonine kinase activity [GO:0072518]; ribosomal protein S6 kinase activity [GO:0004711]; sigma factor antagonist activity [GO:0016989]; asexual sporulation [GO:0030436]; negative regulation of sporulation resulting in formation of a cellular spore [GO:0042174]; sporulation resulting in formation of a cellular spore [GO:0030435]	92883500;
Q65HU3	reviewed	SP2AB_BACLD	Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)	spoIIAB BLi02496 BL00777	Bacillus licheniformis (strain ATCC 14580 / DSM 13 / JCM 2505 / CCUG 7422 / NBRC 12200 / NCIMB 9375 / NCTC 10341 / NRRL NRS-1264 / Gibson 46)	146		10.1159/000079829; 10.1186/gb-2004-5-10-r77	4.0	ATP-binding;Kinase;Nucleotide-binding;Reference proteome;Serine/threonine-protein kinase;Sporulation;Transferase	KW-0067; KW-0418; KW-0547; KW-1185; KW-0723; KW-0749; KW-0808	PF13581;		IPR050267;IPR010194;IPR036890;IPR003594;	TIGR01925;	Anti-sigma-factor family	PTHR35526:SF3;PTHR35526;	bld:BLi02496;bli:BL00777;			asexual sporulation [GO:0030436]; negative regulation of sporulation resulting in formation of a cellular spore [GO:0042174]; sporulation resulting in formation of a cellular spore [GO:0030435]	3-phosphoinositide-dependent protein kinase activity [GO:0004676]; AMP-activated protein kinase activity [GO:0004679]; ATP binding [GO:0005524]; DNA-dependent protein kinase activity [GO:0004677]; histone H2AS1 kinase activity [GO:0044024]; histone H2AS121 kinase activity [GO:0072371]; histone H2AT120 kinase activity [GO:1990244]; histone H2AXS139 kinase activity [GO:0035979]; histone H2BS14 kinase activity [GO:0044025]; histone H2BS36 kinase activity [GO:0140823]; histone H3S10 kinase activity [GO:0035175]; histone H3S28 kinase activity [GO:0044022]; histone H3S57 kinase activity [GO:0140855]; histone H3T11 kinase activity [GO:0035402]; histone H3T3 kinase activity [GO:0072354]; histone H3T45 kinase activity [GO:0140857]; histone H3T6 kinase activity [GO:0035403]; histone H4S1 kinase activity [GO:0044023]; protein serine kinase activity [GO:0106310]; Rho-dependent protein serine/threonine kinase activity [GO:0072518]; ribosomal protein S6 kinase activity [GO:0004711]; sigma factor antagonist activity [GO:0016989]; asexual sporulation [GO:0030436]; negative regulation of sporulation resulting in formation of a cellular spore [GO:0042174]; sporulation resulting in formation of a cellular spore [GO:0030435]	92860910;
Q6HE93	reviewed	SP2AB_BACHK	Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)	spoIIAB BT9727_3814	Bacillus thuringiensis subsp. konkukian (strain 97-27)	146		10.1128/jb.188.9.3382-3390.2006	4.0	ATP-binding;Kinase;Nucleotide-binding;Serine/threonine-protein kinase;Sporulation;Transferase	KW-0067; KW-0418; KW-0547; KW-0723; KW-0749; KW-0808	PF13581;		IPR050267;IPR010194;IPR036890;IPR003594;	TIGR01925;	Anti-sigma-factor family	PTHR35526:SF3;PTHR35526;	btk:BT9727_3814;			asexual sporulation [GO:0030436]; negative regulation of sporulation resulting in formation of a cellular spore [GO:0042174]; sporulation resulting in formation of a cellular spore [GO:0030435]	3-phosphoinositide-dependent protein kinase activity [GO:0004676]; AMP-activated protein kinase activity [GO:0004679]; ATP binding [GO:0005524]; DNA-dependent protein kinase activity [GO:0004677]; histone H2AS1 kinase activity [GO:0044024]; histone H2AS121 kinase activity [GO:0072371]; histone H2AT120 kinase activity [GO:1990244]; histone H2AXS139 kinase activity [GO:0035979]; histone H2BS14 kinase activity [GO:0044025]; histone H2BS36 kinase activity [GO:0140823]; histone H3S10 kinase activity [GO:0035175]; histone H3S28 kinase activity [GO:0044022]; histone H3S57 kinase activity [GO:0140855]; histone H3T11 kinase activity [GO:0035402]; histone H3T3 kinase activity [GO:0072354]; histone H3T45 kinase activity [GO:0140857]; histone H3T6 kinase activity [GO:0035403]; histone H4S1 kinase activity [GO:0044023]; protein serine kinase activity [GO:0106310]; Rho-dependent protein serine/threonine kinase activity [GO:0072518]; ribosomal protein S6 kinase activity [GO:0004711]; sigma factor antagonist activity [GO:0016989]; asexual sporulation [GO:0030436]; negative regulation of sporulation resulting in formation of a cellular spore [GO:0042174]; sporulation resulting in formation of a cellular spore [GO:0030435]	92883500;
Q6TLK5	reviewed	LAEA_EMEND	Secondary metabolism regulator laeA (Methyltransferase laeA) (EC 2.1.1.-) (Velvet complex subunit laeA)	laeA	Emericella nidulans (Aspergillus nidulans)	374		10.1128/ec.3.2.527-535.2004	4.0	Methylation;Methyltransferase;Nucleus;S-adenosyl-L-methionine;Sporulation;Transcription;Transcription regulation;Transferase	KW-0488; KW-0489; KW-0539; KW-0949; KW-0749; KW-0804; KW-0805; KW-0808	PF13489;	cd02440;	IPR029063;		Methyltransferase superfamily, LaeA methyltransferase family	PTHR43591;PTHR43591:SF30;				methylation [GO:0032259]; sporulation resulting in formation of a cellular spore [GO:0030435]	nucleus [GO:0005634]; methyltransferase activity [GO:0008168]; methylation [GO:0032259]; sporulation resulting in formation of a cellular spore [GO:0030435]	
Q731M3	reviewed	SP2AB_BACC1	Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)	spoIIAB BCE_4143	Bacillus cereus (strain ATCC 10987 / NRS 248)	146		10.1093/nar/gkh258	4.0	ATP-binding;Kinase;Nucleotide-binding;Serine/threonine-protein kinase;Sporulation;Transferase	KW-0067; KW-0418; KW-0547; KW-0723; KW-0749; KW-0808	PF13581;		IPR050267;IPR010194;IPR036890;IPR003594;	TIGR01925;	Anti-sigma-factor family	PTHR35526:SF3;PTHR35526;	bca:BCE_4143;			asexual sporulation [GO:0030436]; negative regulation of sporulation resulting in formation of a cellular spore [GO:0042174]; sporulation resulting in formation of a cellular spore [GO:0030435]	3-phosphoinositide-dependent protein kinase activity [GO:0004676]; AMP-activated protein kinase activity [GO:0004679]; ATP binding [GO:0005524]; DNA-dependent protein kinase activity [GO:0004677]; histone H2AS1 kinase activity [GO:0044024]; histone H2AS121 kinase activity [GO:0072371]; histone H2AT120 kinase activity [GO:1990244]; histone H2AXS139 kinase activity [GO:0035979]; histone H2BS14 kinase activity [GO:0044025]; histone H2BS36 kinase activity [GO:0140823]; histone H3S10 kinase activity [GO:0035175]; histone H3S28 kinase activity [GO:0044022]; histone H3S57 kinase activity [GO:0140855]; histone H3T11 kinase activity [GO:0035402]; histone H3T3 kinase activity [GO:0072354]; histone H3T45 kinase activity [GO:0140857]; histone H3T6 kinase activity [GO:0035403]; histone H4S1 kinase activity [GO:0044023]; protein serine kinase activity [GO:0106310]; Rho-dependent protein serine/threonine kinase activity [GO:0072518]; ribosomal protein S6 kinase activity [GO:0004711]; sigma factor antagonist activity [GO:0016989]; asexual sporulation [GO:0030436]; negative regulation of sporulation resulting in formation of a cellular spore [GO:0042174]; sporulation resulting in formation of a cellular spore [GO:0030435]	
Q7AKN0	reviewed	WHIB_STRCO	Transcriptional regulator WhiB	whiB whiB2 SCO3034	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	87		10.1007/bf00266237; 10.1038/417141a; 10.1128/jb.174.19.6215-6220.1992; 10.1128/jb.00384-06	4.0	4Fe-4S;Cytoplasm;Disulfide bond;DNA-binding;Iron;Iron-sulfur;Metal-binding;Reference proteome;Sporulation;Transcription;Transcription regulation	KW-0004; KW-0963; KW-1015; KW-0238; KW-0408; KW-0411; KW-0479; KW-1185; KW-0749; KW-0804; KW-0805	PF02467;		IPR034768;IPR003482;		WhiB family	PTHR38839:SF4;PTHR38839;				cell redox homeostasis [GO:0045454]; negative regulation of DNA-templated transcription [GO:0045892]; sporulation resulting in formation of a cellular spore [GO:0030435]	cytoplasm [GO:0005737]; 4 iron, 4 sulfur cluster binding [GO:0051539]; dinitrosyl-iron complex binding [GO:0035731]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; protein-disulfide reductase (NAD(P)H) activity [GO:0047134]; cell redox homeostasis [GO:0045454]; negative regulation of DNA-templated transcription [GO:0045892]; sporulation resulting in formation of a cellular spore [GO:0030435]	95741856;
Q7WY62	reviewed	SDA_BACSU	Sporulation inhibitor sda (Histidine kinase KinA inhibitor)	sda BSU25690	Bacillus subtilis (strain 168)	52	P16497	10.1038/36786; 10.1016/s0092-8674(01)00211-2; 10.1016/s1097-2765(04)00084-x	4.0	3D-structure;Alternative initiation;Protein kinase inhibitor;Reference proteome;Sporulation	KW-0002; KW-0024; KW-0649; KW-1185; KW-0749	PF08970;		IPR015064;IPR036916;				bsu:BSU25690;			sporulation resulting in formation of a cellular spore [GO:0030435]	protein kinase inhibitor activity [GO:0004860]; sporulation resulting in formation of a cellular spore [GO:0030435]	2914223;
Q7WY77	reviewed	PXPC_BACSU	5-oxoprolinase subunit C (5-OPase subunit C) (EC 3.5.2.9) (5-oxoprolinase (ATP-hydrolyzing) subunit C) (KipI antagonist) (Protein KipA)	pxpC kipA BSU04090	Bacillus subtilis (strain 168)	335		10.1099/13500872-141-12-3241; 10.1099/13500872-142-11-3047; 10.1038/36786; 10.1101/gr.9.11.1116; 10.1099/mic.0.027839-0; 10.1101/gad.11.19.2569; 10.1016/j.jmb.2010.10.047; 10.1074/jbc.m117.805028	4.0	ATP-binding;Hydrolase;Nucleotide-binding;Reference proteome;Sporulation	KW-0067; KW-0378; KW-0547; KW-1185; KW-0749	PF02626;		IPR003778;IPR029000;IPR052708;	TIGR00724;	PxpC family	PTHR43309;PTHR43309:SF5;	bsu:BSU04090;			sporulation resulting in formation of a cellular spore [GO:0030435]	5-oxoprolinase (ATP-hydrolyzing) activity [GO:0017168]; ATP binding [GO:0005524]; sporulation resulting in formation of a cellular spore [GO:0030435]	2914204;
Q819B3	reviewed	SP2AB_BACCR	Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)	spoIIAB BC_4073	Bacillus cereus (strain ATCC 14579 / DSM 31 / CCUG 7414 / JCM 2152 / NBRC 15305 / NCIMB 9373 / NCTC 2599 / NRRL B-3711)	146		10.1038/nature01582	4.0	ATP-binding;Kinase;Nucleotide-binding;Reference proteome;Serine/threonine-protein kinase;Sporulation;Transferase	KW-0067; KW-0418; KW-0547; KW-1185; KW-0723; KW-0749; KW-0808	PF13581;		IPR050267;IPR010194;IPR036890;IPR003594;	TIGR01925;	Anti-sigma-factor family	PTHR35526:SF3;PTHR35526;	bce:BC4073;			asexual sporulation [GO:0030436]; negative regulation of sporulation resulting in formation of a cellular spore [GO:0042174]; sporulation resulting in formation of a cellular spore [GO:0030435]	3-phosphoinositide-dependent protein kinase activity [GO:0004676]; AMP-activated protein kinase activity [GO:0004679]; ATP binding [GO:0005524]; DNA-dependent protein kinase activity [GO:0004677]; histone H2AS1 kinase activity [GO:0044024]; histone H2AS121 kinase activity [GO:0072371]; histone H2AT120 kinase activity [GO:1990244]; histone H2AXS139 kinase activity [GO:0035979]; histone H2BS14 kinase activity [GO:0044025]; histone H2BS36 kinase activity [GO:0140823]; histone H3S10 kinase activity [GO:0035175]; histone H3S28 kinase activity [GO:0044022]; histone H3S57 kinase activity [GO:0140855]; histone H3T11 kinase activity [GO:0035402]; histone H3T3 kinase activity [GO:0072354]; histone H3T45 kinase activity [GO:0140857]; histone H3T6 kinase activity [GO:0035403]; histone H4S1 kinase activity [GO:0044023]; protein serine kinase activity [GO:0106310]; Rho-dependent protein serine/threonine kinase activity [GO:0072518]; ribosomal protein S6 kinase activity [GO:0004711]; sigma factor antagonist activity [GO:0016989]; asexual sporulation [GO:0030436]; negative regulation of sporulation resulting in formation of a cellular spore [GO:0042174]; sporulation resulting in formation of a cellular spore [GO:0030435]	
Q81MF4	reviewed	SP2AB_BACAN	Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)	spoIIAB BA_4295 GBAA_4295 BAS3984	Bacillus anthracis	146		10.1038/nature01586; 10.1128/jb.01347-08	4.0	ATP-binding;Kinase;Nucleotide-binding;Reference proteome;Serine/threonine-protein kinase;Sporulation;Transferase	KW-0067; KW-0418; KW-0547; KW-1185; KW-0723; KW-0749; KW-0808	PF13581;		IPR050267;IPR010194;IPR036890;IPR003594;	TIGR01925;	Anti-sigma-factor family	PTHR35526:SF3;PTHR35526;	ban:BA_4295;bar:GBAA_4295;bat:BAS3984;			asexual sporulation [GO:0030436]; negative regulation of sporulation resulting in formation of a cellular spore [GO:0042174]; sporulation resulting in formation of a cellular spore [GO:0030435]	3-phosphoinositide-dependent protein kinase activity [GO:0004676]; AMP-activated protein kinase activity [GO:0004679]; ATP binding [GO:0005524]; DNA-dependent protein kinase activity [GO:0004677]; histone H2AS1 kinase activity [GO:0044024]; histone H2AS121 kinase activity [GO:0072371]; histone H2AT120 kinase activity [GO:1990244]; histone H2AXS139 kinase activity [GO:0035979]; histone H2BS14 kinase activity [GO:0044025]; histone H2BS36 kinase activity [GO:0140823]; histone H3S10 kinase activity [GO:0035175]; histone H3S28 kinase activity [GO:0044022]; histone H3S57 kinase activity [GO:0140855]; histone H3T11 kinase activity [GO:0035402]; histone H3T3 kinase activity [GO:0072354]; histone H3T45 kinase activity [GO:0140857]; histone H3T6 kinase activity [GO:0035403]; histone H4S1 kinase activity [GO:0044023]; protein serine kinase activity [GO:0106310]; Rho-dependent protein serine/threonine kinase activity [GO:0072518]; ribosomal protein S6 kinase activity [GO:0004711]; sigma factor antagonist activity [GO:0016989]; asexual sporulation [GO:0030436]; negative regulation of sporulation resulting in formation of a cellular spore [GO:0042174]; sporulation resulting in formation of a cellular spore [GO:0030435]	92883500;
Q81SW4	reviewed	SP4A_BACAN	Stage IV sporulation protein A (EC 3.6.1.-) (Coat morphogenetic protein SpoIVA)	spoIVA BA_1530 BAS1419 GBAA_1530	Bacillus anthracis	492		10.1038/nature01586; 10.1128/jb.01347-08; 10.1128/jb.00921-06	4.0	ATP-binding;Cytoplasm;Hydrolase;Nucleotide-binding;Reference proteome;Sporulation	KW-0067; KW-0963; KW-0378; KW-0547; KW-1185; KW-0749	PF09547;PF20439;PF20438;	cd00882;	IPR027417;IPR046842;IPR046840;IPR046841;IPR014201;	TIGR02836;			ban:BA_1530;bar:GBAA_1530;bat:BAS1419;			exosporium assembly [GO:0070499]; spore wall assembly [GO:0042244]; sporulation resulting in formation of a cellular spore [GO:0030435]	cytoplasm [GO:0005737]; endospore-forming forespore [GO:0042601]; spore wall [GO:0031160]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent H2AZ histone chaperone activity [GO:0140849]; ATP-dependent H3-H4 histone complex chaperone activity [GO:0140665]; chromatin extrusion motor activity [GO:0140584]; cohesin loader activity [GO:0061775]; DNA clamp loader activity [GO:0003689]; exosporium assembly [GO:0070499]; spore wall assembly [GO:0042244]; sporulation resulting in formation of a cellular spore [GO:0030435]	93009531;
