target	product	best_hit	HMM	evalue	score	EC	gene	ORF_start	ORF_end	product_start	product_end	product_length	ORF_length-aa
D5DNA8	gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase	K15633	KOFam_prokaryote_FOAM	1.5e-246	816.6	5.4.2.12		N/A	N/A	1	510	509	428
D5DQW6	Stage II sporulation protein GA (sporulation sigma-E factor processing peptidase)	K06383	KOFam_prokaryote_KEGG	1.4e-101	336.5	3.4.23.-	spoIIGA	N/A	N/A	1	298	297	428
D5DVF4	gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase	K15633	KOFam_prokaryote_FOAM	1.4e-245	813.4	5.4.2.12		N/A	N/A	1	510	509	428
L8EBJ9	Hypothetical							N/A	N/A				
O05102	Hypothetical							N/A	N/A				
O05231	Sporulation inhibitor KapD	K06348	KOFam_prokaryote_KEGG	2.1e-90	299.3		kapD	N/A	N/A	2	204	202	428
O05391	Forespore regulator of the sigma-K checkpoint	K06318	KOFam_prokaryote_KEGG	4.3e-54	179.6		bofC	N/A	N/A	8	169	161	428
O05495	Spore germination protein	K06306	KOFam_prokaryote_KEGG	1.3e-138	459.7		yaaH	N/A	N/A	1	419	418	428
O06014	Hypothetical							N/A	N/A				
O07545	Hypothetical							N/A	N/A				
O31510	Hypothetical							N/A	N/A				
O31661	kinE; two-component system, sporulation sensor kinase E	K13533	KOFam_prokaryote_FOAM	1.7e-186	526.5	2.7.13.3		N/A	N/A	254	733	479	428
O31687	Cytochrome c biogenesis protein CcmG, thiol:disulfide interchange protein DsbE	K02199	KOFam_prokaryote_KEGG	8.8e-30	100.9		ccmG, dsbE	N/A	N/A	11	161	150	428
O31773	Teichoic acid D-alanine hydrolase	K22580	KOFam_prokaryote_KEGG	1.8e-118	392.4	3.1.1.103	fmtA	N/A	N/A	22	390	368	428
O31982	N-acetylmuramoyl-L-alanine amidase	K01447	KOFam_prokaryote_KEGG	1.6e-27	93.5	3.5.1.28	xlyAB	N/A	N/A	13	346	333	428
O32025	Phosphatase RapE regulator	K06354	KOFam_prokaryote_KEGG	1.6e-21	72.6		phrE	N/A	N/A	1	44	43	428
O32062	Morphogenetic protein associated with SpoVID	K06370	KOFam_prokaryote_KEGG	3.3e-61	204.5		safA	N/A	N/A	1	387	386	428
O32130	Peptidoglycan LD-endopeptidase LytH	K21472	KOFam_prokaryote_KEGG	2.6e-64	214.3	3.4.-.-	lytH	N/A	N/A	13	321	308	428
O32230	SsrA-binding protein	K03664	KOFam_prokaryote_KEGG	7.4e-77	254.5		smpB	N/A	N/A	7	154	147	428
O32307	Hypothetical							N/A	N/A				
O32321	Hypothetical							N/A	N/A				
O34391	N-acetylmuramoyl-L-alanine amidase	K01447	KOFam_prokaryote_KEGG	1.2e-34	116.9	3.5.1.28	xlyAB	N/A	N/A	23	271	248	428
O66377	Hypothetical							N/A	N/A				
O85805	Hypothetical							N/A	N/A				
O86170	Hypothetical							N/A	N/A				
O87404	Hypothetical							N/A	N/A				
O87905	Hypothetical							N/A	N/A				
O87906	Hypothetical							N/A	N/A				
P00783	Subtilisin	K01342	KOFam_prokaryote_KEGG	2.2e-150	498.6	3.4.21.62	aprE	N/A	N/A	2	380	378	428
P02959	Small acid-soluble spore protein C (minor alpha/beta-type SASP)	K06420	KOFam_prokaryote_KEGG	2e-32	107.9		sspC	N/A	N/A	3	62	59	428
P02960	Small acid-soluble spore protein C (minor alpha/beta-type SASP)	K06420	KOFam_prokaryote_KEGG	9e-34	112.3		sspC	N/A	N/A	8	72	64	428
P02961	Small acid-soluble spore protein E (minor gamma-type SASP)	K06422	KOFam_prokaryote_KEGG	4.9e-35	73.4		sspE	N/A	N/A	1	62	61	428
P02964	RNA polymerase sporulation-specific sigma factor	K03091	KOFam_prokaryote_KEGG	2.1e-70	234.5		sigH	N/A	N/A	22	220	198	428
P02966	Hypothetical							N/A	N/A				
P04833	Small acid-soluble spore protein C (minor alpha/beta-type SASP)	K06420	KOFam_prokaryote_KEGG	1.4e-29	98.9		sspC	N/A	N/A	3	62	59	428
P05068	Hypothetical							N/A	N/A				
P06653	Hypothetical							N/A	N/A				
P07784	Hypothetical							N/A	N/A				
P07999	Glucose 1-dehydrogenase	K00034	KOFam_prokaryote_KEGG	4.1e-116	383.8	1.1.1.47	gdh	N/A	N/A	1	260	259	428
P09662	Hypothetical							N/A	N/A				
P0A366	Hypothetical							N/A	N/A				
P0A367	Hypothetical							N/A	N/A				
P0A368	Hypothetical							N/A	N/A				
P0A369	Hypothetical							N/A	N/A				
P0A370	Hypothetical							N/A	N/A				
P0A371	Hypothetical							N/A	N/A				
P0A372	Hypothetical							N/A	N/A				
P0A373	Hypothetical							N/A	N/A				
P0A375	Hypothetical							N/A	N/A				
P0A376	Hypothetical							N/A	N/A				
P0A377	Hypothetical							N/A	N/A				
P0A380	Hypothetical							N/A	N/A				
P0A382	Hypothetical							N/A	N/A				
P0A4I3	Two-component system, response regulator, stage 0 sporulation protein A	K07699	KOFam_prokaryote_KEGG	1.4e-127	421.3		spo0A	N/A	N/A	1	263	262	428
P0A4I4	Two-component system, response regulator, stage 0 sporulation protein A	K07699	KOFam_prokaryote_KEGG	1.4e-127	421.3		spo0A	N/A	N/A	1	263	262	428
P0CY50	Competence protein ComX	K02253	KOFam_prokaryote_KEGG	1.1e-19	66.6		comX	N/A	N/A	3	57	54	428
P12310	Glucose 1-dehydrogenase	K00034	KOFam_prokaryote_KEGG	9.6e-120	395.7	1.1.1.47	gdh	N/A	N/A	1	259	258	428
P12963	Hypothetical							N/A	N/A				
P12964	Hypothetical							N/A	N/A				
P14016	Spore coat protein E	K06328	KOFam_prokaryote_KEGG	2.1e-77	255.4		cotE	N/A	N/A	1	177	176	428
P14892	N-acetylmuramoyl-L-alanine amidase	K01447	KOFam_prokaryote_KEGG	5.2e-29	98.5	3.5.1.28	xlyAB	N/A	N/A	22	228	206	428
P15378	comC; leader peptidase (prepilin peptidase) / N-methyltransferase	K02236	KOFam_prokaryote_FOAM	9.6e-68	225.2	3.4.23.43 2.1.1.-		N/A	N/A	1	246	245	428
P16449	KinB signaling pathway activation protein	K06349	KOFam_prokaryote_KEGG	1.6e-83	276.2		kbaA	N/A	N/A	1	197	196	428
P16480	Hypothetical							N/A	N/A				
P17531	RNA polymerase primary sigma factor	K03086	KOFam_prokaryote_KEGG	6.6e-169	555.1		rpoD	N/A	N/A	45	707	662	428
P17557	ald; alanine dehydrogenase	K00259	KOFam_prokaryote_FOAM	1.1e-167	554.6	1.4.1.1		N/A	N/A	1	370	369	428
P17869	RNA polymerase sporulation-specific sigma factor	K03091	KOFam_prokaryote_KEGG	2.2e-69	231.1		sigH	N/A	N/A	14	215	201	428
P17969	Hypothetical							N/A	N/A				
P19415	Hypothetical							N/A	N/A				
P21254	Hypothetical							N/A	N/A				
P21256	Hypothetical							N/A	N/A				
P21886	Small acid-soluble spore protein D (minor alpha/beta-type SASP)	K06421	KOFam_prokaryote_KEGG	6e-26	87.6		sspD	N/A	N/A	3	58	55	428
P21887	Small acid-soluble spore protein D (minor alpha/beta-type SASP)	K06421	KOFam_prokaryote_KEGG	4.8e-27	91.1		sspD	N/A	N/A	3	59	56	428
P24282	Inhibitor of the pro-sigma K processing machinery	K06317	KOFam_prokaryote_KEGG	2.3e-26	89.2		bofA	N/A	N/A	1	86	85	428
P24556	N-acetylmuramoyl-L-alanine amidase	K01447	KOFam_prokaryote_KEGG	2.9e-21	73.0	3.5.1.28	xlyAB	N/A	N/A	181	477	296	428
P24808	N-acetylmuramoyl-L-alanine amidase	K01447	KOFam_prokaryote_KEGG	6.9e-37	124.4	3.5.1.28	xlyAB	N/A	N/A	14	255	241	428
P26497	ParB family transcriptional regulator, chromosome partitioning protein	K03497	KOFam_prokaryote_KEGG	1.2e-81	271.7		parB, spo0J	N/A	N/A	10	278	268	428
P26903	Dipeptide transport system permease protein	K16200	KOFam_prokaryote_KEGG	3.2e-169	558.8		dppB1	N/A	N/A	1	307	306	428
P26904	Dipeptide transport system permease protein	K16201	KOFam_prokaryote_KEGG	1.3e-181	599.1		dppC	N/A	N/A	13	320	307	428
P26905	Dipeptide transport system ATP-binding protein	K16202	KOFam_prokaryote_KEGG	2.9e-186	614.7		dppD	N/A	N/A	1	331	330	428
P26906	Dipeptide transport system substrate-binding protein	K16199	KOFam_prokaryote_KEGG	3.8e-295	976.0		dppE	N/A	N/A	4	543	539	428
P28842	Subtilisin	K01342	KOFam_prokaryote_KEGG	5.9e-99	328.9	3.4.21.62	aprE	N/A	N/A	2	415	413	428
P29142	Subtilisin	K01342	KOFam_prokaryote_KEGG	4.3e-150	497.6	3.4.21.62	aprE	N/A	N/A	2	380	378	428
P31112	Heptaprenyl diphosphate synthase component 1	K00805	KOFam_prokaryote_KEGG	9.7e-81	268.1	2.5.1.30	hepS	N/A	N/A	1	250	249	428
P32959	Serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase	K18988	KOFam_prokaryote_KEGG	4.7e-59	195.4	3.4.16.4 3.4.21.-	ampH	N/A	N/A	24	450	426	428
P37466	Hypothetical							N/A	N/A				
P37548	Spore coat assemly protein	K06436	KOFam_prokaryote_KEGG	9.5e-131	431.7		yabG	N/A	N/A	3	289	286	428
P37553	Hypothetical							N/A	N/A				
P37558	Hypothetical							N/A	N/A				
P37559	Hypothetical							N/A	N/A				
P37575	Stage II sporulation protein B	K06380	KOFam_prokaryote_KEGG	8.1e-72	239.3		spoIIB	N/A	N/A	1	331	330	428
P37958	Adapter protein MecA 1/2	K16511	KOFam_prokaryote_KEGG	9.5e-67	221.9		mecA1_2	N/A	N/A	1	217	216	428
P37963	Stage VI sporulation protein D	K06417	KOFam_prokaryote_KEGG	3.4e-129	263.4		spoVID	N/A	N/A	1	319	318	428
P38490	Spore germination protein	K06313	KOFam_prokaryote_KEGG	1e-178	591.6		ypeB	N/A	N/A	1	448	447	428
P38586	Hypothetical							N/A	N/A				
P39043	Gamma-D-glutamyl-L-lysine dipeptidyl-peptidase	K20742	KOFam_prokaryote_KEGG	9.3e-51	169.5	3.4.14.13	ykfC	N/A	N/A	3	261	258	428
P39482	Glucose 1-dehydrogenase	K00034	KOFam_prokaryote_KEGG	2.8e-121	400.8	1.1.1.47	gdh	N/A	N/A	1	259	258	428
P39650	Prespore-specific regulator	K06314	KOFam_prokaryote_KEGG	4.5e-93	307.3		rsfA	N/A	N/A	1	258	257	428
P39800	N-acetylmuramoyl-L-alanine amidase	K01447	KOFam_prokaryote_KEGG	2.5e-42	142.1	3.5.1.28	xlyAB	N/A	N/A	3	266	263	428
P40746	Protein-glutamine gamma-glutamyltransferase	K00686	KOFam_prokaryote_KEGG	1.8e-88	293.5	2.3.2.13	tgl	N/A	N/A	1	243	242	428
P41371	Small acid-soluble spore protein D (minor alpha/beta-type SASP)	K06421	KOFam_prokaryote_KEGG	5.8e-27	90.8		sspD	N/A	N/A	3	59	56	428
P42012	Two-component system, response regulator, stage 0 sporulation protein A	K07699	KOFam_prokaryote_KEGG	1.5e-113	375.2		spo0A	N/A	N/A	1	261	260	428
P42061	ABC.PE.S; peptide/nickel transport system substrate-binding protein	K02035	KOFam_prokaryote_FOAM	2.7e-117	389.7			N/A	N/A	1	540	539	428
P42064	Oligopeptide transport system ATP-binding protein	K15583	KOFam_prokaryote_KEGG	2.6e-155	515.5		oppD	N/A	N/A	3	322	319	428
P42065	ddpF; peptide/nickel transport system ATP-binding protein	K02032	KOFam_prokaryote_FOAM	9e-162	536.7			N/A	N/A	6	327	321	428
P42249	cwlJ, sleB; N-acetylmuramoyl-L-alanine amidase	K01449	KOFam_prokaryote_FOAM	1.2e-34	116.7	3.5.1.28		N/A	N/A	7	141	134	428
P42969	Hypothetical							N/A	N/A				
P42983	Hypothetical							N/A	N/A				
P45706	Cytochrome c-type biogenesis protein	K06196	KOFam_prokaryote_KEGG	7.7e-70	232.2		ccdA	N/A	N/A	7	226	219	428
P45855	ACAT, atoB; acetyl-CoA C-acetyltransferase	K00626	KOFam_prokaryote_FOAM	4.4e-145	480.8	2.3.1.9		N/A	N/A	1	391	390	428
P45856	3-hydroxybutyryl-CoA dehydrogenase	K00074	KOFam_prokaryote_KEGG	9.4e-150	496.7	1.1.1.157	paaH, hbd, fadB, mmgB	N/A	N/A	2	284	282	428
P45859	2-methylcitrate dehydratase	K01720	KOFam_prokaryote_KEGG	1.5e-245	813.6	4.2.1.79	prpD	N/A	N/A	2	471	469	428
P45870	Chromosome-anchoring protein RacA	K11686	KOFam_prokaryote_KEGG	4.5e-56	186.0		racA	N/A	N/A	1	183	182	428
P45943	Response regulator aspartate phosphatase E	K06363	KOFam_prokaryote_KEGG	1.9e-221	731.6	3.1.-.-	rapE	N/A	N/A	1	375	374	428
P49600	spoIIE; stage II sporulation protein E	K06382	KOFam_prokaryote_FOAM	7.5e-237	784.9	3.1.3.16		N/A	N/A	1	579	578	428
P49785	Stage III sporulation protein AH	K06397	KOFam_prokaryote_KEGG	8.8e-55	182.5		spoIIIAH	N/A	N/A	1	217	216	428
P50739	cwlJ, sleB; N-acetylmuramoyl-L-alanine amidase	K01449	KOFam_prokaryote_FOAM	1.1e-85	284.0	3.5.1.28		N/A	N/A	7	305	298	428
P50865	Peptidoglycan-N-acetylglucosamine deacetylase	K22278	KOFam_prokaryote_KEGG	2.1e-55	185.3	3.5.1.104	pgdA	N/A	N/A	22	244	222	428
P52928	Two-component system, response regulator, stage 0 sporulation protein A	K07699	KOFam_prokaryote_KEGG	8.1e-128	422.0		spo0A	N/A	N/A	1	263	262	428
P52929	Two-component system, response regulator, stage 0 sporulation protein A	K07699	KOFam_prokaryote_KEGG	1.5e-96	319.4		spo0A	N/A	N/A	1	212	211	428
P52931	Two-component system, response regulator, stage 0 sporulation protein A	K07699	KOFam_prokaryote_KEGG	1.4e-96	319.5		spo0A	N/A	N/A	1	210	209	428
P52932	Two-component system, response regulator, stage 0 sporulation protein A	K07699	KOFam_prokaryote_KEGG	1e-96	320.0		spo0A	N/A	N/A	1	212	211	428
P52933	Two-component system, response regulator, stage 0 sporulation protein A	K07699	KOFam_prokaryote_KEGG	6.1e-88	291.2		spo0A	N/A	N/A	1	191	190	428
P52936	Two-component system, response regulator, stage 0 sporulation protein A	K07699	KOFam_prokaryote_KEGG	3.5e-125	413.3		spo0A	N/A	N/A	1	272	271	428
P52938	Two-component system, response regulator, stage 0 sporulation protein A	K07699	KOFam_prokaryote_KEGG	1.4e-123	408.1		spo0A	N/A	N/A	5	272	267	428
P52939	Two-component system, response regulator, stage 0 sporulation protein A	K07699	KOFam_prokaryote_KEGG	1.1e-96	319.8		spo0A	N/A	N/A	1	271	270	428
P52940	Two-component system, response regulator, stage 0 sporulation protein A	K07699	KOFam_prokaryote_KEGG	3e-122	403.7		spo0A	N/A	N/A	1	272	271	428
P52941	Two-component system, response regulator, stage 0 sporulation protein A	K07699	KOFam_prokaryote_KEGG	2.6e-122	403.9		spo0A	N/A	N/A	1	255	254	428
P52942	Two-component system, response regulator, stage 0 sporulation protein F	K02490	KOFam_prokaryote_KEGG	1.5e-54	181.4		spo0F	N/A	N/A	1	120	119	428
P55339	ABC-2 type transport system ATP-binding protein	K25158	KOFam_prokaryote_KEGG	1e-124	411.1		ecsA	N/A	N/A	3	243	240	428
P55340	ABC-2 type transport system permease protein	K25157	KOFam_prokaryote_KEGG	2.8e-133	441.1		ecsB	N/A	N/A	2	405	403	428
P56953	Hypothetical							N/A	N/A				
P56955	Hypothetical							N/A	N/A				
P56956	Hypothetical							N/A	N/A				
P58253	Two-component system, response regulator, stage 0 sporulation protein A	K07699	KOFam_prokaryote_KEGG	1.1e-126	418.2		spo0A	N/A	N/A	1	280	279	428
P59174	gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase	K15633	KOFam_prokaryote_FOAM	1.2e-234	777.3	5.4.2.12		N/A	N/A	1	512	511	428
P62179	RNA polymerase sporulation-specific sigma factor	K03091	KOFam_prokaryote_KEGG	1.3e-80	268.0		sigH	N/A	N/A	15	238	223	428
P62181	RNA polymerase sporulation-specific sigma factor	K03091	KOFam_prokaryote_KEGG	2e-83	277.2		sigH	N/A	N/A	10	234	224	428
P71031	Small acid-soluble spore protein O (minor)	K06432	KOFam_prokaryote_KEGG	9.4e-22	73.8		sspO, cotK	N/A	N/A	1	48	47	428
P71044	Stage II sporulation protein Q	K06386	KOFam_prokaryote_KEGG	1.8e-108	359.1		spoIIQ	N/A	N/A	1	279	278	428
P71073	PucR family transcriptional regulator, proline-responsive transcriptional activator	K23253	KOFam_prokaryote_KEGG	3.2e-67	224.0		putR	N/A	N/A	23	420	397	428
P84583	Small acid-soluble spore protein C (minor alpha/beta-type SASP)	K06420	KOFam_prokaryote_KEGG	3.5e-38	126.4		sspC	N/A	N/A	1	67	66	428
P84584	Small acid-soluble spore protein C (minor alpha/beta-type SASP)	K06420	KOFam_prokaryote_KEGG	2.8e-38	126.7		sspC	N/A	N/A	1	69	68	428
P84585	Small acid-soluble spore protein E (minor gamma-type SASP)	K06422	KOFam_prokaryote_KEGG	9.7e-30	61.1		sspE	N/A	N/A	5	53	48	428
P96315	Hypothetical							N/A	N/A				
Q03415	G-D-glutamyl-meso-diaminopimelate peptidase	K01308	KOFam_prokaryote_KEGG	6e-135	447.6	3.4.19.11	yqgT	N/A	N/A	21	396	375	428
Q03744	Hypothetical							N/A	N/A				
Q03745	Hypothetical							N/A	N/A				
Q03746	Hypothetical							N/A	N/A				
Q03748	Hypothetical							N/A	N/A				
Q03749	Hypothetical							N/A	N/A				
Q04470	Hypothetical							N/A	N/A				
Q04810	Dipicolinate synthase subunit B	K06411	KOFam_prokaryote_KEGG	1.5e-98	324.5		spoVFB	N/A	N/A	3	196	193	428
Q07765	CRISPR-associated protein Cst2	K19075	KOFam_prokaryote_KEGG	6.9e-49	163.4		cst2, cas7	N/A	N/A	5	277	272	428
Q07766	CRISPR-associated protein Cas5t	K19090	KOFam_prokaryote_KEGG	2e-22	76.3		cas5t	N/A	N/A	1	197	196	428
Q08430	kinB; two-component system, sporulation sensor kinase B	K07697	KOFam_prokaryote_FOAM	2.3e-132	438.5	2.7.13.3		N/A	N/A	2	424	422	428
Q182S9	Inositol-phosphate phosphatase / L-galactose 1-phosphate phosphatase / histidinol-phosphatase	K18649	KOFam_prokaryote_KEGG	6e-27	91.1	3.1.3.25 3.1.3.93 3.1.3.15	IMPL2	N/A	N/A	165	292	127	428
Q2JDA6	Hypothetical							N/A	N/A				
Q45058	Spore coat protein M	K06335	KOFam_prokaryote_KEGG	2.3e-50	166.4		cotM	N/A	N/A	7	128	121	428
Q45358	Hypothetical							N/A	N/A				
Q45535	Spore coat protein H	K06330	KOFam_prokaryote_KEGG	4.8e-104	345.5		cotH	N/A	N/A	4	359	355	428
Q45704	Hypothetical							N/A	N/A				
Q45705	Hypothetical							N/A	N/A				
Q45706	Hypothetical							N/A	N/A				
Q45707	Hypothetical							N/A	N/A				
Q45708	Hypothetical							N/A	N/A				
Q45709	Hypothetical							N/A	N/A				
Q45712	Hypothetical							N/A	N/A				
Q45715	Hypothetical							N/A	N/A				
Q45716	Hypothetical							N/A	N/A				
Q45718	Hypothetical							N/A	N/A				
Q45730	Hypothetical							N/A	N/A				
Q45733	Hypothetical							N/A	N/A				
Q45738	Hypothetical							N/A	N/A				
Q45739	Hypothetical							N/A	N/A				
Q45743	Hypothetical							N/A	N/A				
Q45744	Hypothetical							N/A	N/A				
Q45746	Hypothetical							N/A	N/A				
Q45747	Hypothetical							N/A	N/A				
Q45748	Hypothetical							N/A	N/A				
Q45752	Hypothetical							N/A	N/A				
Q45753	Hypothetical							N/A	N/A				
Q45754	Hypothetical							N/A	N/A				
Q45755	Hypothetical							N/A	N/A				
Q45760	Hypothetical							N/A	N/A				
Q45774	Hypothetical							N/A	N/A				
Q45882	Hypothetical							N/A	N/A				
Q47N25	Hypothetical							N/A	N/A				
Q57458	Hypothetical							N/A	N/A				
Q5KVB2	Chromosome-anchoring protein RacA	K11686	KOFam_prokaryote_KEGG	3.4e-63	209.5		racA	N/A	N/A	1	172	171	428
Q5WC42	L,D-transpeptidase ErfK/SrfK	K16291	KOFam_prokaryote_KEGG	8e-56	186.6		erfK	N/A	N/A	5	164	159	428
Q5WDK8	gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase	K15633	KOFam_prokaryote_FOAM	1.2e-242	803.7	5.4.2.12		N/A	N/A	1	508	507	428
Q631M1	gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase	K15633	KOFam_prokaryote_FOAM	1.6e-245	813.2	5.4.2.12		N/A	N/A	3	509	506	428
Q65DU9	Chromosome-anchoring protein RacA	K11686	KOFam_prokaryote_KEGG	4.3e-51	169.8		racA	N/A	N/A	1	186	185	428
Q65EN1	gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase	K15633	KOFam_prokaryote_FOAM	9.9e-248	820.5	5.4.2.12		N/A	N/A	4	511	507	428
Q65K99	L,D-transpeptidase ErfK/SrfK	K16291	KOFam_prokaryote_KEGG	4.9e-52	174.1		erfK	N/A	N/A	4	163	159	428
Q6B4J5	Morphogenetic protein associated with SpoVID	K06370	KOFam_prokaryote_KEGG	2.4e-55	150.2		safA	N/A	N/A	1	242	241	428
Q6HBF2	gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase	K15633	KOFam_prokaryote_FOAM	1.6e-245	813.2	5.4.2.12		N/A	N/A	3	509	506	428
Q72XY4	gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase	K15633	KOFam_prokaryote_FOAM	1.3e-244	810.2	5.4.2.12		N/A	N/A	3	509	506	428
Q815K7	gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase	K15633	KOFam_prokaryote_FOAM	1.6e-245	813.2	5.4.2.12		N/A	N/A	3	509	506	428
Q81DD1	Hypothetical							N/A	N/A				
Q81QD6	Hypothetical							N/A	N/A				
Q8CX61	ald; alanine dehydrogenase	K00259	KOFam_prokaryote_FOAM	9.9e-170	561.2	1.4.1.1		N/A	N/A	1	372	371	428
Q939S9	Hypothetical							N/A	N/A				
Q939T0	Hypothetical							N/A	N/A				
Q99027	comP; two-component system, NarL family, sensor histidine kinase ComP	K07680	KOFam_prokaryote_FOAM	4.7e-246	815.1	2.7.13.3		N/A	N/A	6	769	763	428
Q99031	Hypothetical							N/A	N/A				
Q9K5N0	Chromosome partitioning protein	K03496	KOFam_prokaryote_KEGG	5.2e-106	351.8		parA, soj	N/A	N/A	3	251	248	428
Q9K716	gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase	K15633	KOFam_prokaryote_FOAM	3.4e-244	808.9	5.4.2.12		N/A	N/A	1	510	509	428
Q9RMG3	Hypothetical							N/A	N/A				
Q9S515	Hypothetical							N/A	N/A				
Q9S597	Hypothetical							N/A	N/A				
Q9X597	Hypothetical							N/A	N/A				
Q9X682	Hypothetical							N/A	N/A				
Q9XDL1	Hypothetical							N/A	N/A				
Q9ZAZ5	Hypothetical							N/A	N/A				
Q9ZAZ6	Hypothetical							N/A	N/A				
Q9ZIU5	Hypothetical							N/A	N/A				
Q9ZNL9	Hypothetical							N/A	N/A				
A0RAQ6	MarR family transcriptional regulator, protease production regulatory protein HPr	K09682	KOFam_prokaryote_KEGG	4.3e-95	312.8		hpr	N/A	N/A	5	184	179	428
A0RHX9	Protein-glutamine gamma-glutamyltransferase	K00686	KOFam_prokaryote_KEGG	6.4e-94	311.5	2.3.2.13	tgl	N/A	N/A	17	245	228	428
A4FB46	Hypothetical							N/A	N/A				
A4IKI9	Small acid-soluble spore protein K (minor)	K06428	KOFam_prokaryote_KEGG	3.6e-35	116.5		sspK	N/A	N/A	1	52	51	428
A4IKT9	MarR family transcriptional regulator, protease production regulatory protein HPr	K09682	KOFam_prokaryote_KEGG	7.7e-102	334.7		hpr	N/A	N/A	4	184	180	428
A4IMM1	Small acid-soluble spore protein P (minor)	K06433	KOFam_prokaryote_KEGG	1.9e-26	89.0		sspP, cotL	N/A	N/A	1	48	47	428
A4IMM3	Small acid-soluble spore protein O (minor)	K06432	KOFam_prokaryote_KEGG	9.6e-30	99.4		sspO, cotK	N/A	N/A	1	49	48	428
A4IN31	Small acid-soluble spore protein H (minor)	K06425	KOFam_prokaryote_KEGG	1e-20	70.6		sspH	N/A	N/A	1	59	58	428
A4IN74	Small acid-soluble spore protein N (minor)	K06431	KOFam_prokaryote_KEGG	6.1e-22	74.2		sspN	N/A	N/A	1	47	46	428
A4IN75	Small acid-soluble spore protein (thioredoxin-like protein)	K06434	KOFam_prokaryote_KEGG	1.8e-38	127.2		tlp	N/A	N/A	3	74	71	428
A4IPX4	Small acid-soluble spore protein H (minor)	K06425	KOFam_prokaryote_KEGG	1.7e-25	86.0		sspH	N/A	N/A	1	59	58	428
A4ISB5	Small acid-soluble spore protein H (minor)	K06425	KOFam_prokaryote_KEGG	2.4e-21	72.6		sspH	N/A	N/A	1	61	60	428
A4X5B6	Hypothetical							N/A	N/A				
A6TQ57	Small acid-soluble spore protein H (minor)	K06425	KOFam_prokaryote_KEGG	5.9e-25	84.3		sspH	N/A	N/A	1	59	58	428
A6WCJ4	Hypothetical							N/A	N/A				
A7GJW0	Stage V sporulation protein G	K06412	KOFam_prokaryote_KEGG	1.4e-45	151.3		spoVG	N/A	N/A	1	88	87	428
A7GKY7	Small acid-soluble spore protein K (minor)	K06428	KOFam_prokaryote_KEGG	4.3e-25	84.3		sspK	N/A	N/A	1	52	51	428
A7GL73	Small acid-soluble spore protein H (minor)	K06425	KOFam_prokaryote_KEGG	1.5e-21	73.3		sspH	N/A	N/A	1	59	58	428
A7GLZ1	MarR family transcriptional regulator, protease production regulatory protein HPr	K09682	KOFam_prokaryote_KEGG	7.4e-96	315.3		hpr	N/A	N/A	5	184	179	428
A7GNL0	Small acid-soluble spore protein H (minor)	K06425	KOFam_prokaryote_KEGG	3.6e-24	81.8		sspH	N/A	N/A	1	59	58	428
A7GQU9	Hypothetical							N/A	N/A				
A7GQV6	Small acid-soluble spore protein O (minor)	K06432	KOFam_prokaryote_KEGG	2e-28	95.2		sspO, cotK	N/A	N/A	1	49	48	428
A7GQV9	Small acid-soluble spore protein P (minor)	K06433	KOFam_prokaryote_KEGG	6.7e-22	74.4		sspP, cotL	N/A	N/A	1	47	46	428
A7GRZ1	Protein-glutamine gamma-glutamyltransferase	K00686	KOFam_prokaryote_KEGG	4.6e-92	305.4	2.3.2.13	tgl	N/A	N/A	19	250	231	428
A7Z0H2	Stage V sporulation protein G	K06412	KOFam_prokaryote_KEGG	2.3e-45	150.6		spoVG	N/A	N/A	1	92	91	428
A7Z2J3	Small acid-soluble spore protein H (minor)	K06425	KOFam_prokaryote_KEGG	8e-22	74.2		sspH	N/A	N/A	1	59	58	428
A7Z2M2	Small acid-soluble spore protein K (minor)	K06428	KOFam_prokaryote_KEGG	1.4e-31	105.0		sspK	N/A	N/A	2	50	48	428
A7Z311	MarR family transcriptional regulator, protease production regulatory protein HPr	K09682	KOFam_prokaryote_KEGG	2.6e-93	306.9		hpr	N/A	N/A	6	184	178	428
A7Z565	Small acid-soluble spore protein P (minor)	K06433	KOFam_prokaryote_KEGG	2.4e-26	88.6		sspP, cotL	N/A	N/A	1	48	47	428
A7Z566	Small acid-soluble spore protein O (minor)	K06432	KOFam_prokaryote_KEGG	2.3e-21	72.6		sspO, cotK	N/A	N/A	1	48	47	428
A7Z570	Hypothetical							N/A	N/A				
A7Z571	Small acid-soluble spore protein (thioredoxin-like protein)	K06434	KOFam_prokaryote_KEGG	1e-36	121.6		tlp	N/A	N/A	1	78	77	428
A8F916	Stage V sporulation protein G	K06412	KOFam_prokaryote_KEGG	6.4e-46	152.4		spoVG	N/A	N/A	1	90	89	428
