From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Interacts with	DOI ID	Annotation	Keywords	Keyword ID	Pfam	CDD	InterPro	NCBIfam	Protein families	PANTHER	KEGG	MEROPS	CAZy	Gene Ontology (biological process)	Gene Ontology (GO)	GeneID
BSU35550	O32268	reviewed	TUAG_BACSU	Putative teichuronic acid biosynthesis glycosyltransferase TuaG (EC 2.4.-.-)	tuaG yvhG BSU35550	Bacillus subtilis (strain 168)	252		10.1046/j.1365-2958.1999.01218.x; 10.1038/36786	2.0	Cell wall biogenesis/degradation;Glycosyltransferase;Reference proteome;Stress response;Transferase	KW-0961; KW-0328; KW-1185; KW-0346; KW-0808	PF00535;	cd00761;	IPR001173;IPR029044;		Glycosyltransferase 2 family	PTHR22916;PTHR22916:SF3;	bsu:BSU35550;		GT2;	cell wall organization [GO:0071555]; teichuronic acid biosynthetic process [GO:0050845]	glycosyltransferase activity [GO:0016757]; cell wall organization [GO:0071555]; teichuronic acid biosynthetic process [GO:0050845]	937965;
BSU27830	P94446	reviewed	COXA_BACSU	Sporulation cortex protein CoxA	coxA yrbB BSU27830	Bacillus subtilis (strain 168)	198		10.1111/j.1574-6968.1998.tb13913.x; 10.1038/36786; 10.1128/jb.181.16.4986-4994.1999	2.0	Reference proteome;Signal;Sporulation	KW-1185; KW-0732; KW-0749	PF09580;		IPR019076;				bsu:BSU27830;			sporulation resulting in formation of a cellular spore [GO:0030435]	endospore cortex [GO:0043595]; sporulation resulting in formation of a cellular spore [GO:0030435]	937516;
BSU36410	P39751	reviewed	MBL_BACSU	Cell shape-determining protein Mbl (Actin-like Mbl protein) (Rod shape-determining protein Mbl)	mbl BSU36410	Bacillus subtilis (strain 168)	333	P33166	10.1128/jb.177.3.765-773.1995; 10.1038/36786; 10.1101/gr.9.11.1116; 10.1099/00221287-143-10-3313; 10.1016/s0092-8674(01)00287-2; 10.1016/j.cub.2003.10.024; 10.1016/j.devcel.2006.07.017; 10.1111/j.1365-2958.2006.05457.x; 10.1111/j.1365-2958.2009.06805.x; 10.1126/science.1203285; 10.1126/science.1203466	4.0	ATP-binding;Cell shape;Cytoplasm;Nucleotide-binding;Reference proteome	KW-0067; KW-0133; KW-0963; KW-0547; KW-1185	PF06723;	cd10225;	IPR043129;IPR004753;	TIGR00904;	FtsA/MreB family	PTHR42749:SF4;PTHR42749;	bsu:BSU36410;			cell morphogenesis [GO:0000902]; regulation of cell shape [GO:0008360]	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; cell morphogenesis [GO:0000902]; regulation of cell shape [GO:0008360]	76980139;936916;
BSU35560	O32269	reviewed	TUAF_BACSU	Teichuronic acid biosynthesis protein TuaF	tuaF yvhF BSU35560	Bacillus subtilis (strain 168)	226		10.1046/j.1365-2958.1999.01218.x; 10.1038/36786	2.0	Cell membrane;Cell wall biogenesis/degradation;Membrane;Reference proteome;Stress response;Transmembrane;Transmembrane helix	KW-1003; KW-0961; KW-0472; KW-1185; KW-0346; KW-0812; KW-1133	PF02706;		IPR003856;				bsu:BSU35560;			cell wall organization [GO:0071555]; teichuronic acid biosynthetic process [GO:0050845]	plasma membrane [GO:0005886]; cell wall organization [GO:0071555]; teichuronic acid biosynthetic process [GO:0050845]	936768;
BSU24440	P49779	reviewed	YQHV_BACSU	Uncharacterized protein YqhV	yqhV yqgE BSU24440	Bacillus subtilis (strain 168)	93		10.1099/13500872-142-11-3103; 10.1038/36786; 10.1111/j.1365-2958.1991.tb00816.x	1.0	Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix	KW-1003; KW-0472; KW-1185; KW-0812; KW-1133	PF10942;		IPR020390;				bsu:BSU24440;				plasma membrane [GO:0005886]	938559;
BSU30840	P42408	reviewed	YTEA_BACSU	Uncharacterized protein YteA (ORFQ)	yteA yzwB BSU30840	Bacillus subtilis (strain 168)	239		10.1099/00221287-143-11-3431; 10.1038/36786; 10.1101/gr.9.11.1116	2.0	Metal-binding;Reference proteome;Zinc;Zinc-finger	KW-0479; KW-1185; KW-0862; KW-0863	PF01258;		IPR037187;IPR014240;IPR000962;	TIGR02890;		PTHR33823:SF4;PTHR33823;	bsu:BSU30840;				zinc ion binding [GO:0008270]	937192;
BSU39060	P42308	reviewed	CITN_BACSU	Citrate transporter	citN citH yxiQ BSU39060 N15CR	Bacillus subtilis (strain 168)	426		10.1099/13500872-142-11-3113; 10.1038/36786; 10.1099/mic.0.027839-0; 10.1099/13500872-141-2-281; 10.1128/jb.178.21.6216-6222.1996	3.0	Cell membrane;Citrate utilization;Membrane;Reference proteome;Symport;Transmembrane;Transmembrane helix;Transport	KW-1003; KW-0163; KW-0472; KW-1185; KW-0769; KW-0812; KW-1133; KW-0813	PF03600;		IPR004680;IPR014738;	TIGR00784;	CitM (TC 2.A.11) transporter family		bsu:BSU39060;			citrate metabolic process [GO:0006101]; transmembrane transport [GO:0055085]	plasma membrane [GO:0005886]; citrate transmembrane transporter activity [GO:0015137]; symporter activity [GO:0015293]; transmembrane transporter activity [GO:0022857]; citrate metabolic process [GO:0006101]; transmembrane transport [GO:0055085]	937469;
BSU18780	O34541	reviewed	YOAW_BACSU	Uncharacterized protein YoaW	yoaW BSU18780	Bacillus subtilis (strain 168)	143		10.1038/36786	1.0	Reference proteome;Signal	KW-1185; KW-0732							bsu:BSU18780;					940131;
BSU08550	Q7WY75	reviewed	SSPK_BACSU	Small, acid-soluble spore protein K (SASP K)	sspK BSU08550	Bacillus subtilis (strain 168)	50		10.1038/36786; 10.1128/jb.180.24.6704-6712.1998; 10.1016/s0378-1119(00)00125-6	2.0	Direct protein sequencing;Reference proteome;Sporulation	KW-0903; KW-1185; KW-0749	PF08176;		IPR012611;	TIGR03091;	SspK family		bsu:BSU08550;			asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	endospore-forming forespore [GO:0042601]; asexual sporulation [GO:0030436]; sporulation resulting in formation of a cellular spore [GO:0030435]	2914224;86874692;
BSU16880	O31768	reviewed	YMFJ_BACSU	Uncharacterized protein YmfJ	ymfJ BSU16880	Bacillus subtilis (strain 168)	85		10.1038/36786	1.0	Reference proteome	KW-1185	PF11588;		IPR021637;IPR024702;IPR038292;				bsu:BSU16880;					86873803;939670;
BSU03190	P94389	reviewed	YCGL_BACSU	Uncharacterized protein YcgL	ycgL BSU03190	Bacillus subtilis (strain 168)	260		10.1099/13500872-142-11-3047; 10.1038/36786	1.0	Coiled coil;Reference proteome	KW-0175; KW-1185	PF10127;		IPR018775;			PTHR34817;PTHR34817:SF2;	bsu:BSU03190;					938336;
BSU10110	P38050	reviewed	PBPF_BACSU	Penicillin-binding protein 1F (PBP-1F) (Penicillin-binding protein F) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.99.28) (Peptidoglycan TGase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)]	pbpF ponA BSU10110	Bacillus subtilis (strain 168)	714		10.1099/00221287-144-4-859; 10.1038/36786; 10.1099/mic.0.027839-0; 10.1128/jb.175.15.4870-4876.1993; 10.1128/jb.174.24.8081-8093.1992	5.0	Carboxypeptidase;Cell membrane;Cell shape;Cell wall biogenesis/degradation;Glycosyltransferase;Hydrolase;Membrane;Multifunctional enzyme;Peptidoglycan synthesis;Protease;Reference proteome;Signal-anchor;Transferase;Transmembrane;Transmembrane helix	KW-0121; KW-1003; KW-0133; KW-0961; KW-0328; KW-0378; KW-0472; KW-0511; KW-0573; KW-0645; KW-1185; KW-0735; KW-0808; KW-0812; KW-1133	PF00912;PF00905;		IPR012338;IPR001264;IPR050396;IPR023346;IPR036950;IPR001460;	TIGR02074;	Glycosyltransferase 51 family; Transpeptidase family	PTHR32282;PTHR32282:SF32;	bsu:BSU10110;		GT51;	cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; proteolysis [GO:0006508]; regulation of cell shape [GO:0008360]	outer membrane-bounded periplasmic space [GO:0030288]; plasma membrane [GO:0005886]; penicillin binding [GO:0008658]; peptidoglycan glycosyltransferase activity [GO:0008955]; serine-type D-Ala-D-Ala carboxypeptidase activity [GO:0009002]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; proteolysis [GO:0006508]; regulation of cell shape [GO:0008360]	939766;
BSU35540	O32267	reviewed	TUAH_BACSU	Putative teichuronic acid biosynthesis glycosyltransferase TuaH (EC 2.4.-.-)	tuaH yvhH BSU35540	Bacillus subtilis (strain 168)	397		10.1046/j.1365-2958.1999.01218.x; 10.1038/36786	2.0	Cell wall biogenesis/degradation;Glycosyltransferase;Reference proteome;Stress response;Transferase	KW-0961; KW-0328; KW-1185; KW-0346; KW-0808	PF13692;	cd04950;			Glycosyltransferase group 1 family	PTHR12526;PTHR12526:SF629;	bsu:BSU35540;		GT4;	cell wall organization [GO:0071555]; teichuronic acid biosynthetic process [GO:0050845]	glycosyltransferase activity [GO:0016757]; cell wall organization [GO:0071555]; teichuronic acid biosynthetic process [GO:0050845]	938535;
BSU40260	Q45605	reviewed	YYCQ_BACSU	Uncharacterized protein YycQ	yycQ BSU40260	Bacillus subtilis (strain 168)	82		10.1093/dnares/4.2.155; 10.1038/36786	1.0	Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix	KW-1003; KW-0472; KW-1185; KW-0812; KW-1133	PF10852;		IPR020258;				bsu:BSU40260;				plasma membrane [GO:0005886]	937733;
BSU25800	P45945	reviewed	YQCK_BACSU	Uncharacterized protein YqcK	yqcK BSU25800	Bacillus subtilis (strain 168)	146		10.1099/13500872-141-2-323; 10.1099/13500872-142-11-3103; 10.1038/36786; 10.1099/mic.0.027839-0; 10.1016/0378-1119(95)00636-k	1.0	Reference proteome	KW-1185	PF00903;	cd07254;	IPR052393;IPR029068;IPR004360;IPR037523;IPR049789;	NF041414;		PTHR41294;PTHR41294:SF1;	bsu:BSU25800;			response to cadmium ion [GO:0046686]	response to cadmium ion [GO:0046686]	937794;
BSU18600	Q7WY68	reviewed	YOZQ_BACSU	Uncharacterized protein YozQ	yozQ BSU18600	Bacillus subtilis (strain 168)	97		10.1038/36786	1.0	Reference proteome	KW-1185	PF13217;		IPR025100;				bsu:BSU18600;					2914173;
BSU40360	P39668	reviewed	YYXA_BACSU	Uncharacterized serine protease YyxA (EC 3.4.21.-)	yyxA yycK BSU40360	Bacillus subtilis (strain 168)	400		10.1093/dnares/4.2.155; 10.1038/36786; 10.1128/jb.176.5.1234-1241.1994	2.0	Cell membrane;Hydrolase;Membrane;Protease;Reference proteome;Serine protease;Transmembrane;Transmembrane helix	KW-1003; KW-0378; KW-0472; KW-0645; KW-1185; KW-0720; KW-0812; KW-1133	PF13180;PF13365;	cd00987;	IPR051201;IPR001478;IPR036034;IPR009003;IPR043504;IPR001940;		Peptidase S1C family	PTHR43343;PTHR43343:SF3;	bsu:BSU40360;	S01.364;		proteolysis [GO:0006508]	plasma membrane [GO:0005886]; serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]	937779;
BSU23190	P35150	reviewed	DACB_BACSU	D-alanyl-D-alanine carboxypeptidase DacB (DD-carboxypeptidase) (DD-peptidase) (EC 3.4.16.4) (Penicillin-binding protein 5*) (PBP-5*) (Penicillin-binding protein 5a) (PBP-5a)	dacB BSU23190	Bacillus subtilis (strain 168)	382		10.1128/jb.174.6.1717-1725.1992; 10.1111/j.1365-2958.1993.tb02670.x; 10.1038/36786; 10.1042/bj2300825; 10.1128/jb.165.2.498-503.1986	4.0	3D-structure;Carboxypeptidase;Cell shape;Cell wall biogenesis/degradation;Direct protein sequencing;Hydrolase;Membrane;Peptidoglycan synthesis;Protease;Reference proteome;Signal;Sporulation	KW-0002; KW-0121; KW-0133; KW-0961; KW-0903; KW-0378; KW-0472; KW-0573; KW-0645; KW-1185; KW-0732; KW-0749	PF07943;PF00768;		IPR012338;IPR018044;IPR012907;IPR001967;		Peptidase S11 family	PTHR21581;PTHR21581:SF33;	bsu:BSU23190;	S11.004;		cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; proteolysis [GO:0006508]; regulation of cell shape [GO:0008360]; sporulation resulting in formation of a cellular spore [GO:0030435]	membrane [GO:0016020]; serine-type D-Ala-D-Ala carboxypeptidase activity [GO:0009002]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; proteolysis [GO:0006508]; regulation of cell shape [GO:0008360]; sporulation resulting in formation of a cellular spore [GO:0030435]	938953;
BSU03090	P94381	reviewed	YCGF_BACSU	Putative amino acid efflux protein YcgF	ycgF BSU03090	Bacillus subtilis (strain 168)	209		10.1099/13500872-142-11-3047; 10.1038/36786	2.0	Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix	KW-1003; KW-0472; KW-1185; KW-0812; KW-1133	PF01810;		IPR001123;		Rht family	PTHR30086:SF6;PTHR30086;	bsu:BSU03090;			amino acid transport [GO:0006865]	plasma membrane [GO:0005886]; amino acid transmembrane transporter activity [GO:0015171]; amino acid transport [GO:0006865]	938349;
BSU07760	O34573	reviewed	YFKT_BACSU	Putative spore germination protein YfkT	yfkT BSU07760	Bacillus subtilis (strain 168)	358		10.1016/s0378-1119(97)00130-3; 10.1038/36786; 10.1128/jb.182.9.2513-2519.2000	2.0	Cell membrane;Germination;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	KW-1003; KW-0309; KW-0472; KW-1185; KW-0812; KW-1133; KW-0813	PF03845;		IPR004761;	TIGR00912;	Amino acid-polyamine-organocation (APC) superfamily, Spore germination protein (SGP) (TC 2.A.3.9) family	PTHR34975;PTHR34975:SF2;	bsu:BSU07760;			spore germination [GO:0009847]	plasma membrane [GO:0005886]; spore germination [GO:0009847]	936135;
BSU00850	P37570	reviewed	MCSB_BACSU	Protein-arginine kinase (EC 2.7.14.1)	mcsB yacI BSU00850	Bacillus subtilis (strain 168)	363		10.1093/dnares/1.1.1; 10.1038/36786; 10.1073/pnas.91.13.5788; 10.1046/j.1365-2958.1999.01152.x; 10.1093/emboj/20.4.852; 10.1038/sj.emboj.7600780; 10.1111/j.1365-2958.2009.06636.x; 10.1128/jb.00079-11; 10.1073/pnas.1117483109; 10.1074/mcp.m113.032292; 10.1038/s41589-019-0265-y	5.0	3D-structure;Allosteric enzyme;ATP-binding;Cytoplasm;Kinase;Nucleotide-binding;Phosphoprotein;Reference proteome;Transferase	KW-0002; KW-0021; KW-0067; KW-0963; KW-0418; KW-0547; KW-0597; KW-1185; KW-0808	PF00217;	cd07930;	IPR023660;IPR000749;IPR022415;IPR022414;IPR014746;		ATP:guanido phosphotransferase family	PTHR11547:SF38;PTHR11547;	bsu:BSU00850;			phosphocreatine biosynthetic process [GO:0046314]	cytoplasm [GO:0005737]; extracellular space [GO:0005615]; ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; kinase activity [GO:0016301]; protein kinase activity [GO:0004672]; phosphocreatine biosynthetic process [GO:0046314]	936939;
BSU37620	P39650	reviewed	RSFA_BACSU	Prespore-specific transcriptional regulator RsfA	rsfA ywfN BSU37620 ipa-92r	Bacillus subtilis (strain 168)	258		10.1111/j.1365-2958.1993.tb01963.x; 10.1038/36786; 10.1128/jb.182.2.418-424.2000	3.0	Activator;DNA-binding;Reference proteome;Repressor;Sporulation;Transcription;Transcription regulation	KW-0010; KW-0238; KW-1185; KW-0678; KW-0749; KW-0804; KW-0805			IPR014243;IPR001005;	TIGR02894;		PTHR41302:SF1;PTHR41302;	bsu:BSU37620;			sporulation resulting in formation of a cellular spore [GO:0030435]	intracellular immature spore [GO:0042763]; DNA binding [GO:0003677]; sporulation resulting in formation of a cellular spore [GO:0030435]	937126;
BSU07790	O34486	reviewed	YFKQ_BACSU	Uncharacterized membrane protein YfkQ	yfkQ BSU07790	Bacillus subtilis (strain 168)	513		10.1016/s0378-1119(97)00130-3; 10.1038/36786	2.0	Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix	KW-1003; KW-0472; KW-1185; KW-0812; KW-1133	PF03323;		IPR004995;IPR050768;		GerABKA family	PTHR22550:SF5;PTHR22550;	bsu:BSU07790;			spore germination [GO:0009847]	plasma membrane [GO:0005886]; spore germination [GO:0009847]	939688;
BSU11410	O31597	reviewed	YJBA_BACSU	UPF0736 protein YjbA	yjbA BSU11410	Bacillus subtilis (strain 168)	250		10.1038/36786	1.0	3D-structure;Reference proteome	KW-0002; KW-1185	PF12227;		IPR020909;		UPF0736 family		bsu:BSU11410;					76977629;939369;
BSU26950	O07919	reviewed	YRAG_BACSU	Spore coat protein F-like protein YraG	yraG BSU26950	Bacillus subtilis (strain 168)	81		10.1099/00221287-143-4-1321; 10.1099/00221287-143-9-2939; 10.1038/36786	1.0	Reference proteome;Sporulation	KW-1185; KW-0749			IPR012347;IPR012851;		CotF family	PTHR39183;PTHR39183:SF1;	bsu:BSU26950;			sporulation resulting in formation of a cellular spore [GO:0030435]	sporulation resulting in formation of a cellular spore [GO:0030435]	936783;
BSU12400	O34578	reviewed	YJNA_BACSU	Probable membrane transporter protein YjnA	yjnA BSU12400	Bacillus subtilis (strain 168)	254		10.1099/00221287-144-4-877; 10.1038/36786	1.0	Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	KW-1003; KW-0472; KW-1185; KW-0812; KW-1133; KW-0813	PF01925;		IPR002781;IPR051598;		4-toluene sulfonate uptake permease (TSUP) (TC 2.A.102) family	PTHR43701;PTHR43701:SF2;	bsu:BSU12400;				plasma membrane [GO:0005886]	939412;
BSU36180	P96723	reviewed	YWQK_BACSU	Immunity protein YwqK	ywqK BSU36180	Bacillus subtilis (strain 168)	154		10.1099/00221287-143-10-3313; 10.1038/36786; 10.1016/j.febslet.2011.12.020; 10.1371/journal.pgen.1009682	2.0	Cytoplasm;Reference proteome;Toxin	KW-0963; KW-1185; KW-0800	PF07661;		IPR011652;				bsu:BSU36180;				cytoplasm [GO:0005737]; toxin activity [GO:0090729]	936888;
BSU38980	P42316	reviewed	SCOB_BACSU	Probable succinyl-CoA:3-ketoacid coenzyme A transferase subunit B (EC 2.8.3.5) (OXCT B) (Succinyl-CoA:3-oxoacid CoA-transferase)	scoB yxjE BSU38980 N15L	Bacillus subtilis (strain 168)	216		10.1099/13500872-142-11-3113; 10.1038/36786	2.0	3D-structure;Reference proteome;Transferase	KW-0002; KW-1185; KW-0808	PF01144;		IPR012791;IPR004165;IPR004164;IPR037171;	TIGR02428;	3-oxoacid CoA-transferase subunit B family	PTHR13707;PTHR13707:SF57;	bsu:BSU38980;				CoA-transferase activity [GO:0008410]; succinyl-CoA:3-oxo-acid CoA-transferase activity [GO:0008260]	937453;
BSU29570	P04831	reviewed	SSPA_BACSU	Small, acid-soluble spore protein A (SASP)	sspA BSU29570	Bacillus subtilis (strain 168)	69		10.1128/jb.166.2.417-425.1986; 10.1099/00221287-143-11-3431; 10.1038/36786	2.0	DNA-binding;Reference proteome;Sporulation	KW-0238; KW-1185; KW-0749	PF00269;		IPR001448;IPR018126;IPR050847;IPR038300;		Alpha/beta-type SASP family	PTHR36107;PTHR36107:SF1;	bsu:BSU29570;			DNA topological change [GO:0006265]; sporulation resulting in formation of a cellular spore [GO:0030435]	double-stranded DNA binding [GO:0003690]; DNA topological change [GO:0006265]; sporulation resulting in formation of a cellular spore [GO:0030435]	86872536;937338;
BSU31820	O32097	reviewed	YUZF_BACSU	Uncharacterized protein YuzF	yuzF BSU31820	Bacillus subtilis (strain 168)	78		10.1038/36786	1.0	Reference proteome	KW-1185	PF10842;		IPR020139;				bsu:BSU31820;					86872279;936562;
BSU18140	Q45069	reviewed	YNFE_BACSU	Uncharacterized protein YnfE	ynfE BSU18140	Bacillus subtilis (strain 168)	87		10.1099/13500872-142-11-3097; 10.1038/36786; 10.1074/mcp.m600464-mcp200	1.0	Phosphoprotein;Reference proteome	KW-0597; KW-1185	PF17452;		IPR020302;				bsu:BSU18140;					936469;
BSU08970	P39134	reviewed	PRKA_BACSU	Protein PrkA	prkA BSU08970	Bacillus subtilis (strain 168)	631		10.1016/0378-1119(95)00758-x; 10.1038/36786	1.0	Reference proteome	KW-1185	PF08298;PF06798;		IPR027417;IPR013153;IPR010650;IPR016230;		PrkA family	PTHR30267;PTHR30267:SF2;	bsu:BSU08970;				protein kinase activity [GO:0004672]	939250;
BSU00080	P37526	reviewed	YAAC_BACSU	Uncharacterized protein YaaC	yaaC BSU00080	Bacillus subtilis (strain 168)	315		10.1093/dnares/1.1.1; 10.1038/36786	1.0	Reference proteome	KW-1185	PF14175;		IPR026988;				bsu:BSU00080;					939969;
BSU35240	O35002	reviewed	CTPB_BACSU	Carboxy-terminal processing protease CtpB (C-terminal processing protease) (EC 3.4.21.102)	ctpB yvjB BSU35240	Bacillus subtilis (strain 168)	480	O35002; P26936	10.1046/j.1365-2958.1998.00747.x; 10.1038/36786; 10.1128/jb.185.20.6051-6056.2003; 10.1016/j.molcel.2006.05.019; 10.1128/jb.00399-07; 10.1016/j.cell.2013.09.050	5.0	3D-structure;Autocatalytic cleavage;Hydrolase;Protease;Reference proteome;Serine protease;Signal;Sporulation	KW-0002; KW-0068; KW-0378; KW-0645; KW-1185; KW-0720; KW-0732; KW-0749	PF22694;PF13180;PF03572;PF01471;	cd00988;cd07560;	IPR029045;IPR055210;IPR001478;IPR036034;IPR004447;IPR002477;IPR036365;IPR036366;IPR005151;	TIGR00225;	Peptidase S41A family	PTHR32060:SF29;PTHR32060;	bsu:BSU35240;	S41.007;		peptide metabolic process [GO:0006518]; proteolysis [GO:0006508]; signal transduction [GO:0007165]; sporulation resulting in formation of a cellular spore [GO:0030435]	outer membrane-bounded periplasmic space [GO:0030288]; endopeptidase activity [GO:0004175]; identical protein binding [GO:0042802]; peptidase activity [GO:0008233]; peptide binding [GO:0042277]; protein homodimerization activity [GO:0042803]; serine-type endopeptidase activity [GO:0004252]; peptide metabolic process [GO:0006518]; proteolysis [GO:0006508]; signal transduction [GO:0007165]; sporulation resulting in formation of a cellular spore [GO:0030435]	936678;
BSU14950	O34682	reviewed	YLBB_BACSU	Uncharacterized protein YlbB	ylbB BSU14950	Bacillus subtilis (strain 168)	148		10.1038/36786; 10.1099/mic.0.027839-0	1.0	CBS domain;Reference proteome;Repeat	KW-0129; KW-1185; KW-0677	PF00571;	cd04622;	IPR000644;IPR046342;IPR051257;			PTHR43080:SF2;PTHR43080;	bsu:BSU14950;					86873997;938107;
BSU00860	P37571	reviewed	CLPC_BACSU	Negative regulator of genetic competence ClpC/MecB	clpC mecB BSU00860	Bacillus subtilis (strain 168)	810	P37958	10.1073/pnas.91.13.5788; 10.1093/dnares/1.1.1; 10.1038/36786; 10.1128/jb.176.11.3360-3367.1994	3.0	3D-structure;ATP-binding;Chaperone;Competence;Nucleotide-binding;Reference proteome;Repeat;Repressor;Transcription;Transcription regulation	KW-0002; KW-0067; KW-0143; KW-0178; KW-0547; KW-1185; KW-0677; KW-0678; KW-0804; KW-0805	PF00004;PF07724;PF17871;PF02861;PF10431;	cd00009;cd19499;	IPR003593;IPR003959;IPR019489;IPR036628;IPR004176;IPR001270;IPR018368;IPR028299;IPR041546;IPR050130;IPR027417;IPR001943;		ClpA/ClpB family, ClpC subfamily	PTHR11638;PTHR11638:SF18;	bsu:BSU00860;			establishment of competence for transformation [GO:0030420]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; establishment of competence for transformation [GO:0030420]	938481;
BSU08760	P71088	reviewed	SP0M_BACSU	Sporulation-control protein spo0M (Stage 0 sporulation protein M)	spo0M ygaI BSU08760	Bacillus subtilis (strain 168)	258		10.1016/s0378-1119(98)00378-3; 10.1099/00221287-143-6-1855; 10.1038/36786; 10.1099/mic.0.027839-0	2.0	3D-structure;Direct protein sequencing;Reference proteome;Sporulation	KW-0002; KW-0903; KW-1185; KW-0749	PF07070;		IPR014752;IPR014756;IPR009776;		Spo0M family	PTHR40053;PTHR40053:SF1;	bsu:BSU08760;			sporulation resulting in formation of a cellular spore [GO:0030435]	sporulation resulting in formation of a cellular spore [GO:0030435]	939725;
BSU27970	P26937	reviewed	SP4FB_BACSU	Stage IV sporulation protein FB (EC 3.4.24.-)	spoIVFB bofB BSU27970	Bacillus subtilis (strain 168)	288	P12254	10.1016/0022-2836(91)90931-u; 10.1038/36786; 10.1128/jb.182.11.3305-3309.2000; 10.1101/gad.977702; 10.1073/pnas.0307709101	5.0	3D-structure;Hydrolase;Membrane;Metal-binding;Metalloprotease;Protease;Reference proteome;Sporulation;Transmembrane;Transmembrane helix;Zinc	KW-0002; KW-0378; KW-0472; KW-0479; KW-0482; KW-0645; KW-1185; KW-0749; KW-0812; KW-1133; KW-0862	PF02163;	cd06161;	IPR008915;		Peptidase M50B family	PTHR39188;PTHR39188:SF3;	bsu:BSU27970;	M50.002;		proteolysis [GO:0006508]; sporulation resulting in formation of a cellular spore [GO:0030435]	membrane [GO:0016020]; metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]; proteolysis [GO:0006508]; sporulation resulting in formation of a cellular spore [GO:0030435]	937505;
BSU07980	O34928	reviewed	PDAA_BACSU	Peptidoglycan-N-acetylmuramic acid deacetylase PdaA (Peptidoglycan MurNAc deacetylase) (EC 3.5.1.-)	pdaA yfjS BSU07980	Bacillus subtilis (strain 168)	263		10.1099/13500872-142-11-3057; 10.1038/36786; 10.1128/jb.184.21.6007-6015.2002; 10.1128/jb.186.1.80-89.2004; 10.1128/jb.187.4.1287-1292.2005; 10.1016/j.febslet.2004.06.013	5.0	3D-structure;Cell wall biogenesis/degradation;Hydrolase;Metal-binding;Reference proteome;Signal;Sporulation	KW-0002; KW-0961; KW-0378; KW-0479; KW-1185; KW-0732; KW-0749	PF01522;	cd10948;	IPR011330;IPR002509;IPR050248;IPR014235;	TIGR02884;	Polysaccharide deacetylase family	PTHR10587;PTHR10587:SF78;	bsu:BSU07980;			carbohydrate metabolic process [GO:0005975]; cell wall organization [GO:0071555]; sporulation resulting in formation of a cellular spore [GO:0030435]	deacetylase activity [GO:0019213]; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds [GO:0016810]; metal ion binding [GO:0046872]; carbohydrate metabolic process [GO:0005975]; cell wall organization [GO:0071555]; sporulation resulting in formation of a cellular spore [GO:0030435]	936136;
BSU37840	P39629	reviewed	RMLA_BACSU	Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24) (Spore coat polysaccharide biosynthesis protein SpsI) (dTDP-glucose pyrophosphorylase) (dTDP-glucose synthase)	rmlA spsI BSU37840 ipa-71d	Bacillus subtilis (strain 168)	246		10.1111/j.1365-2958.1993.tb01963.x; 10.1038/36786; 10.1038/nchembio.1063	3.0	Magnesium;Metal-binding;Nucleotidyltransferase;Reference proteome;Transferase	KW-0460; KW-0479; KW-0548; KW-1185; KW-0808	PF00483;	cd02538;	IPR005907;IPR005835;IPR029044;		Glucose-1-phosphate thymidylyltransferase family	PTHR43532;PTHR43532:SF1;	bsu:BSU37840;			extracellular polysaccharide biosynthetic process [GO:0045226]	glucose-1-phosphate thymidylyltransferase activity [GO:0008879]; metal ion binding [GO:0046872]; extracellular polysaccharide biosynthetic process [GO:0045226]	937229;
BSU24380	P49783	reviewed	SP3AF_BACSU	Stage III sporulation protein AF	spoIIIAF BSU24380	Bacillus subtilis (strain 168)	206		10.1099/13500872-142-11-3103; 10.1038/36786	1.0	3D-structure;Cell membrane;Membrane;Reference proteome;Sporulation;Transmembrane;Transmembrane helix	KW-0002; KW-1003; KW-0472; KW-1185; KW-0749; KW-0812; KW-1133	PF09581;		IPR014245;	TIGR02896;			bsu:BSU24380;			sporulation resulting in formation of a cellular spore [GO:0030435]	plasma membrane [GO:0005886]; sporulation resulting in formation of a cellular spore [GO:0030435]	938576;
