gene	scaffold	scaffold.noperiod	gene_id	gene_description	category	header	subheader	module	auxiliary_score	amg_flags
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015282.1_167	NC_015282.1	NC_015282							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015282.1_173	NC_015282.1	NC_015282							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015282.1_191	NC_015282.1	NC_015282							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015282.1_206	NC_015282.1	NC_015282	K02703	psbA; photosystem II reaction center D1 protein [EC:1.10.3.9]	Energy	Photosynthesis		Photosystem II	1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015282.1_208	NC_015282.1	NC_015282							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015282.1_221	NC_015282.1	NC_015282							1	MKF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015283.1_23	NC_015283.1	NC_015283							1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015283.1_24	NC_015283.1	NC_015283							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015283.1_27	NC_015283.1	NC_015283							1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015283.1_32	NC_015283.1	NC_015283							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015283.1_42	NC_015283.1	NC_015283							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015283.1_43	NC_015283.1	NC_015283							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015283.1_47	NC_015283.1	NC_015283							1	MKB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015283.1_48	NC_015283.1	NC_015283							1	MKB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015283.1_49	NC_015283.1	NC_015283							1	MKB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015283.1_50	NC_015283.1	NC_015283							1	MKB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015283.1_116	NC_015283.1	NC_015283							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015283.1_122	NC_015283.1	NC_015283							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015283.1_137	NC_015283.1	NC_015283							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015283.1_173	NC_015283.1	NC_015283							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015283.1_195	NC_015283.1	NC_015283							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015283.1_211	NC_015283.1	NC_015283							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015283.1_223	NC_015283.1	NC_015283							1	MKF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015284.1_4	NC_015284.1	NC_015284							1	MKF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015284.1_5	NC_015284.1	NC_015284							1	MKF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015284.1_10	NC_015284.1	NC_015284							1	MKF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015284.1_25	NC_015284.1	NC_015284							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015284.1_27	NC_015284.1	NC_015284							1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015284.1_38	NC_015284.1	NC_015284							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015284.1_42	NC_015284.1	NC_015284							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015284.1_148	NC_015284.1	NC_015284							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015284.1_165	NC_015284.1	NC_015284							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015284.1_189	NC_015284.1	NC_015284							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015284.1_191	NC_015284.1	NC_015284	K02703	psbA; photosystem II reaction center D1 protein [EC:1.10.3.9]	Energy	Photosynthesis		Photosystem II	1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015284.1_192	NC_015284.1	NC_015284							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015284.1_204	NC_015284.1	NC_015284							1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015284.1_205	NC_015284.1	NC_015284							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015284.1_217	NC_015284.1	NC_015284							1	MKF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015285.1_15	NC_015285.1	NC_015285							1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015285.1_16	NC_015285.1	NC_015285							1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015285.1_45	NC_015285.1	NC_015285							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015285.1_107	NC_015285.1	NC_015285							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015285.1_111	NC_015285.1	NC_015285							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015285.1_130	NC_015285.1	NC_015285							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015285.1_135	NC_015285.1	NC_015285							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015285.1_150	NC_015285.1	NC_015285							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015285.1_171	NC_015285.1	NC_015285	K00616	transaldolase [EC:2.2.1.2] [RN:R01827]	carbon utilization	central carbon	pentose pathway	Pentose phosphate pathway (Pentose phosphate cycle)	1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015285.1_171	NC_015285.1	NC_015285	K00616	transaldolase [EC:2.2.1.2] [RN:R01827]	carbon utilization	central carbon	pentose pathway	"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P"	1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015285.1_178	NC_015285.1	NC_015285							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015285.1_182	NC_015285.1	NC_015285							1	MKB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015285.1_183	NC_015285.1	NC_015285							1	MKB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015285.1_184	NC_015285.1	NC_015285							1	MKB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015285.1_198	NC_015285.1	NC_015285							1	MKF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015286.1_15	NC_015286.1	NC_015286							1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015286.1_16	NC_015286.1	NC_015286							1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015286.1_46	NC_015286.1	NC_015286							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015286.1_95	NC_015286.1	NC_015286							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015286.1_97	NC_015286.1	NC_015286							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015286.1_98	NC_015286.1	NC_015286							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015286.1_114	NC_015286.1	NC_015286							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015286.1_118	NC_015286.1	NC_015286							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015286.1_135	NC_015286.1	NC_015286							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015286.1_154	NC_015286.1	NC_015286							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015286.1_180	NC_015286.1	NC_015286	K00616	transaldolase [EC:2.2.1.2] [RN:R01827]	carbon utilization	central carbon	pentose pathway	Pentose phosphate pathway (Pentose phosphate cycle)	1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015286.1_180	NC_015286.1	NC_015286	K00616	transaldolase [EC:2.2.1.2] [RN:R01827]	carbon utilization	central carbon	pentose pathway	"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P"	1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015286.1_188	NC_015286.1	NC_015286							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015286.1_194	NC_015286.1	NC_015286							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015286.1_196	NC_015286.1	NC_015286							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015286.1_208	NC_015286.1	NC_015286							1	MKF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_13	NC_015287.1	NC_015287							1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_19	NC_015287.1	NC_015287							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_20	NC_015287.1	NC_015287							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_22	NC_015287.1	NC_015287							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_28	NC_015287.1	NC_015287							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_34	NC_015287.1	NC_015287							1	MKB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_35	NC_015287.1	NC_015287							1	MKB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_36	NC_015287.1	NC_015287							1	MKB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_43	NC_015287.1	NC_015287							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_109	NC_015287.1	NC_015287							1	MKB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_110	NC_015287.1	NC_015287							1	MKB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_111	NC_015287.1	NC_015287							1	MKB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_112	NC_015287.1	NC_015287							1	MKB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_114	NC_015287.1	NC_015287							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_119	NC_015287.1	NC_015287							1	MKB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_120	NC_015287.1	NC_015287							1	MKB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_121	NC_015287.1	NC_015287							1	MKB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_140	NC_015287.1	NC_015287							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_151	NC_015287.1	NC_015287							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_165	NC_015287.1	NC_015287							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_173	NC_015287.1	NC_015287							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_174	NC_015287.1	NC_015287							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_187	NC_015287.1	NC_015287	K02638	plastocyanin	Energy	Photosynthesis		Cytochrome b6f complex	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_188	NC_015287.1	NC_015287							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_196	NC_015287.1	NC_015287	U69	Self-processing occurs at the Ser846|+|Ala bond.	Organic Nitrogen	Peptidase		Self-processing peptidases	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_210	NC_015287.1	NC_015287							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_220	NC_015287.1	NC_015287							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_231	NC_015287.1	NC_015287							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_232	NC_015287.1	NC_015287							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_234	NC_015287.1	NC_015287							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_235	NC_015287.1	NC_015287							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_237	NC_015287.1	NC_015287							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_241	NC_015287.1	NC_015287	K00012	UGDH; UDP-Glc -> UDP-GlcA [EC:1.1.1.22]	MISC	Information systems	Nucleotide	"Nucleotide sugar biosynthesis, eukaryotes"	1	MKB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_241	NC_015287.1	NC_015287	K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22] [RN:R00286]	MISC	MISC		Glucuronate pathway (uronate pathway)	1	MKB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_241	NC_015287.1	NC_015287	K00012	ytcA;UDP-glucose 6-dehydrogenase YtcA	MISC	Sporulation proteins	Newly identified sporulation proteins (based on transcription profiling)	Sporulation	1	MKB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_241	NC_015287.1	NC_015287	K00012	ugd;UDP-glucose 6-dehydrogenase YwqF	MISC	Phosphorylation on a Tyr residue		Phosphoproteins	1	MKB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_242	NC_015287.1	NC_015287	GT11	"GT11 GDP-L-Fuc: galactoside alpha-1,2-L-fucosyltransferase (EC 2.4.1.69); GDP-L-Fuc: beta-LacNac alpha-1,3-L-fucosyltransferase (EC 2.4.1.-)"	carbon utilization	CAZY		GlycosylTransferases	1	MB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_243	NC_015287.1	NC_015287	GT11	"GT11 GDP-L-Fuc: galactoside alpha-1,2-L-fucosyltransferase (EC 2.4.1.69); GDP-L-Fuc: beta-LacNac alpha-1,3-L-fucosyltransferase (EC 2.4.1.-)"	carbon utilization	CAZY		GlycosylTransferases	1	MB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_245	NC_015287.1	NC_015287	GT11	"GT11 GDP-L-Fuc: galactoside alpha-1,2-L-fucosyltransferase (EC 2.4.1.69); GDP-L-Fuc: beta-LacNac alpha-1,3-L-fucosyltransferase (EC 2.4.1.-)"	carbon utilization	CAZY		GlycosylTransferases	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_247	NC_015287.1	NC_015287	GT25	"GT25 lipopolysaccharide beta-1,4-galactosyltransferase (EC 2.4.1.-); beta-1,3-glucosyltransferase (EC 2.4.1.-); beta-1,2-glucosyltransferase (EC 2.4.1.-); beta-1,2-galactosyltransferase (EC 2.4.1.-); LPS beta-1,4-galactosyltransferase (EC 2.4.1.-); occidiofungin beta-xylosyltransferase (EC 2.4.2.-); UDP-Gal:procollagen beta-galactosyltransferase (EC 2.4.1.50)"	carbon utilization	CAZY		GlycosylTransferases	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_249	NC_015287.1	NC_015287							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_258	NC_015287.1	NC_015287							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_265	NC_015287.1	NC_015287							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_272	NC_015287.1	NC_015287							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_274	NC_015287.1	NC_015287	K01462	defB;peptide deformylase	MISC	Sulfur metabolism	Conversion of S-methyl cysteine to cysteine	Additional metabolic pathways	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_277	NC_015287.1	NC_015287							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_282	NC_015287.1	NC_015287	K00616	transaldolase [EC:2.2.1.2] [RN:R01827]	carbon utilization	central carbon	pentose pathway	Pentose phosphate pathway (Pentose phosphate cycle)	1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_282	NC_015287.1	NC_015287	K00616	transaldolase [EC:2.2.1.2] [RN:R01827]	carbon utilization	central carbon	pentose pathway	"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P"	1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015287.1_295	NC_015287.1	NC_015287							1	MKF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015288.1_18	NC_015288.1	NC_015288							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015288.1_20	NC_015288.1	NC_015288							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015288.1_22	NC_015288.1	NC_015288							1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015288.1_23	NC_015288.1	NC_015288							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015288.1_31	NC_015288.1	NC_015288							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015288.1_33	NC_015288.1	NC_015288							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015288.1_34	NC_015288.1	NC_015288							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015288.1_58	NC_015288.1	NC_015288							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015288.1_82	NC_015288.1	NC_015288							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015288.1_161	NC_015288.1	NC_015288							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015288.1_166	NC_015288.1	NC_015288							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015288.1_172	NC_015288.1	NC_015288							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015288.1_174	NC_015288.1	NC_015288							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015288.1_180	NC_015288.1	NC_015288							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015288.1_182	NC_015288.1	NC_015288							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015288.1_183	NC_015288.1	NC_015288							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015288.1_191	NC_015288.1	NC_015288							1	MKF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015288.1_197	NC_015288.1	NC_015288							1	MKF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015289.1_15	NC_015289.1	NC_015289							1	MKEB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015289.1_16	NC_015289.1	NC_015289							1	MKB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015289.1_17	NC_015289.1	NC_015289							1	MKEB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015289.1_23	NC_015289.1	NC_015289							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015289.1_35	NC_015289.1	NC_015289							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015289.1_36	NC_015289.1	NC_015289							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015289.1_40	NC_015289.1	NC_015289							1	MKB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015289.1_41	NC_015289.1	NC_015289							1	MKB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015289.1_42	NC_015289.1	NC_015289							1	MKB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015289.1_43	NC_015289.1	NC_015289							1	MKB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015289.1_96	NC_015289.1	NC_015289	K02638	plastocyanin	Energy	Photosynthesis		Cytochrome b6f complex	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015289.1_97	NC_015289.1	NC_015289							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015289.1_99	NC_015289.1	NC_015289							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015289.1_101	NC_015289.1	NC_015289							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015289.1_117	NC_015289.1	NC_015289							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015289.1_130	NC_015289.1	NC_015289							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015289.1_146	NC_015289.1	NC_015289	K02040	pstS; phosphate transport system substrate-binding protein	Transporters			Phosphate transport system	1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015289.1_153	NC_015289.1	NC_015289							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015289.1_175	NC_015289.1	NC_015289							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015289.1_187	NC_015289.1	NC_015289							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015289.1_189	NC_015289.1	NC_015289							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015289.1_202	NC_015289.1	NC_015289							1	MKF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015290.1_13	NC_015290.1	NC_015290							1	MKEB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015290.1_14	NC_015290.1	NC_015290							1	MKEB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015290.1_15	NC_015290.1	NC_015290							1	MKB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015290.1_17	NC_015290.1	NC_015290							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015290.1_20	NC_015290.1	NC_015290							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015290.1_24	NC_015290.1	NC_015290							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015290.1_26	NC_015290.1	NC_015290							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015290.1_30	NC_015290.1	NC_015290							1	MKB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015290.1_31	NC_015290.1	NC_015290							1	MKB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015290.1_32	NC_015290.1	NC_015290							1	MKB
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015290.1_45	NC_015290.1	NC_015290							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015290.1_50	NC_015290.1	NC_015290							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015290.1_76	NC_015290.1	NC_015290							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015290.1_118	NC_015290.1	NC_015290							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015290.1_133	NC_015290.1	NC_015290	K11175	phosphoribosylglycinamide formyltransferase [EC:2.1.2.2] [RN:R04325]	MISC	Information systems	Nucleotide	"Inosine monophosphate biosynthesis, PRPP + glutamine => IMP"	1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015290.1_164	NC_015290.1	NC_015290							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015290.1_187	NC_015290.1	NC_015290	K00616	transaldolase [EC:2.2.1.2] [RN:R01827]	carbon utilization	central carbon	pentose pathway	Pentose phosphate pathway (Pentose phosphate cycle)	1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015290.1_187	NC_015290.1	NC_015290	K00616	transaldolase [EC:2.2.1.2] [RN:R01827]	carbon utilization	central carbon	pentose pathway	"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P"	1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015290.1_199	NC_015290.1	NC_015290							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015290.1_202	NC_015290.1	NC_015290							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015290.1_214	NC_015290.1	NC_015290							1	MKF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015292.1_113	NC_015292.1	NC_015292							1	MKF
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015294.2_144	NC_015294.2	NC_015294							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015296.1_29	NC_015296.1	NC_015296							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015296.1_81	NC_015296.1	NC_015296							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015457.1_62	NC_015457.1	NC_015457	GT72	GT72 UDP-Glc: DNA alpha-glucosyltransferase (EC 2.4.1.26)	carbon utilization	CAZY		GlycosylTransferases	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015464.1_45	NC_015464.1	NC_015464							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015464.1_72	NC_015464.1	NC_015464							1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015464.1_86	NC_015464.1	NC_015464							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015465.1_33	NC_015465.1	NC_015465	K03086	sigA;RNA polymerase sigma factor RpoD	MISC	Transcription	Sigma factors	RNA synthesis and degradation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015568.1_23	NC_015568.1	NC_015568	K01448	cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015568.1_23	NC_015568.1	NC_015568	K01448	cwlC;sporulation-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015569.1_14	NC_015569.1	NC_015569							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015569.1_77	NC_015569.1	NC_015569							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015569.1_93	NC_015569.1	NC_015569							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015569.1_135	NC_015569.1	NC_015569							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015569.1_143	NC_015569.1	NC_015569	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	1	M
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015569.1_194	NC_015569.1	NC_015569							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015937.1_4	NC_015937.1	NC_015937							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_015938.1_81	NC_015938.1	NC_015938							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_016071.1_10	NC_016071.1	NC_016071							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_016071.1_95	NC_016071.1	NC_016071							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_016071.1_140	NC_016071.1	NC_016071							1	MKE
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_016071.1_145	NC_016071.1	NC_016071							1	MK
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_016073.1_32	NC_016073.1	NC_016073							1	MK
