Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Interacts with	DOI ID	Virus hosts	Annotation	Keywords	Keyword ID	Pfam	CDD	InterPro	NCBIfam	Protein families	PANTHER
P0A370	reviewed	CR1AB_BACTK	Pesticidal crystal protein Cry1Ab (130 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIA(b))	cry1Ab bt2 cry-1-2 cry1A(b) cryIA(b) cryIC1	Bacillus thuringiensis subsp. kurstaki	1155		10.1016/0378-1119(86)90357-4; 10.1128/jb.166.3.801-811.1986; 10.1038/nbt0887-807; 10.1016/0168-1656(87)90061-7; 10.1139/w99-032		3.0	Genetically modified food;Plasmid;Sporulation;Toxin;Virulence	KW-0308; KW-0614; KW-0749; KW-0800; KW-0843	PF17997;PF21463;PF03944;PF18449;PF00555;PF03945;	cd04085;	IPR048645;IPR041587;IPR008979;IPR038979;IPR054544;IPR005638;IPR005639;IPR036716;IPR036399;IPR001178;		Delta endotoxin family	PTHR37003:SF2;PTHR37003;
P0A371	reviewed	CR1AB_BACTB	Pesticidal crystal protein Cry1Ab (130 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIA(b))	cry1Ab bt2 cry-1-2 cry1A(b) cryIA(b) cryIC1	Bacillus thuringiensis subsp. berliner	1155	Q8MZK3	10.1089/dna.1986.5.305; 10.1111/j.1432-1033.1986.tb10443.x		3.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843	PF17997;PF21463;PF03944;PF18449;PF00555;PF03945;	cd04085;	IPR048645;IPR041587;IPR008979;IPR038979;IPR054544;IPR005638;IPR005639;IPR036716;IPR036399;IPR001178;		Delta endotoxin family	PTHR37003:SF2;PTHR37003;
P0A372	reviewed	CR1AB_BACTA	Pesticidal crystal protein Cry1Ab (130 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIA(b))	cry1Ab bt2 cry-1-2 cry1A(b) cryIA(b) cryIC1	Bacillus thuringiensis subsp. aizawai	1155		10.1016/0378-1119(87)90098-9; 10.1093/nar/16.22.10927; 10.1016/0022-2836(89)90094-6		3.0	3D-structure;Sporulation;Toxin;Virulence	KW-0002; KW-0749; KW-0800; KW-0843	PF17997;PF21463;PF03944;PF18449;PF00555;PF03945;	cd04085;	IPR048645;IPR041587;IPR008979;IPR038979;IPR054544;IPR005638;IPR005639;IPR036716;IPR036399;IPR001178;		Delta endotoxin family	PTHR37003:SF2;PTHR37003;
P0A373	reviewed	CR1BA_BACTK	Pesticidal crystal protein Cry1Ba (140 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIB(a))	cry1Ba cryA4 cryIB(a)	Bacillus thuringiensis subsp. kurstaki	1228		10.1093/nar/16.6.2723		3.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843	PF17997;PF21463;PF03944;PF18449;PF00555;PF03945;	cd04085;	IPR048645;IPR041587;IPR008979;IPR038979;IPR054544;IPR005638;IPR005639;IPR036716;IPR036399;IPR001178;		Delta endotoxin family	PTHR37003:SF2;PTHR37003;
P0A375	reviewed	CR1CA_BACTE	Pesticidal crystal protein Cry1Ca (134 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIC(a))	cry1Ca cryIC cryIC(a)	Bacillus thuringiensis subsp. entomocidus	1189		10.1093/nar/16.13.6240		3.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843	PF17997;PF21463;PF03944;PF18449;PF00555;PF03945;	cd04085;	IPR048645;IPR041587;IPR008979;IPR038979;IPR054544;IPR005638;IPR005639;IPR036716;IPR036399;IPR001178;		Delta endotoxin family	PTHR37003:SF2;PTHR37003;
P0A376	reviewed	CR1CA_BACTA	Pesticidal crystal protein Cry1Ca (134 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIC(a))	cry1Ca cryIC cryIC(a)	Bacillus thuringiensis subsp. aizawai	1189		10.1111/j.1365-2958.1989.tb01812.x		3.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843	PF17997;PF21463;PF03944;PF18449;PF00555;PF03945;	cd04085;	IPR048645;IPR041587;IPR008979;IPR038979;IPR054544;IPR005638;IPR005639;IPR036716;IPR036399;IPR001178;		Delta endotoxin family	PTHR37003:SF2;PTHR37003;
P0A377	reviewed	CR2AA_BACTK	Pesticidal crystal protein Cry2Aa (71 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIIA(a)) (Mosquito factor) (P2 crystal protein)	cry2Aa cryB1 cryII cryIIA(a)	Bacillus thuringiensis subsp. kurstaki	633		10.1128/jb.171.2.965-974.1989; 10.1016/s0021-9258(19)57428-2; 10.1016/s0969-2126(01)00601-3		3.0	3D-structure;Direct protein sequencing;Plasmid;Sporulation;Toxin;Virulence	KW-0002; KW-0903; KW-0614; KW-0749; KW-0800; KW-0843	PF03944;PF09131;PF03945;		IPR008979;IPR038979;IPR005638;IPR005639;IPR036716;IPR015214;IPR036399;		Delta endotoxin family	PTHR37003:SF2;PTHR37003;
P0A379	reviewed	CR3AA_BACTT	Pesticidal crystal protein Cry3Aa (73 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIIIA(a))	cry3Aa bt13 cry3A cryC cryIIIa cryIIIA(a)	Bacillus thuringiensis subsp. tenebrionis	644		10.1093/nar/15.17.7183; 10.1073/pnas.84.20.7036; 10.1111/j.1365-2958.1994.tb01298.x; 10.1038/353815a0		3.0	3D-structure;Genetically modified food;Sporulation;Toxin;Virulence	KW-0002; KW-0308; KW-0749; KW-0800; KW-0843	PF03944;PF00555;PF03945;	cd04085;	IPR008979;IPR038979;IPR005638;IPR005639;IPR036716;IPR036399;IPR001178;		Delta endotoxin family	PTHR37003:SF2;PTHR37003;
P0A380	reviewed	CR3AA_BACTM	Pesticidal crystal protein Cry3Aa (73 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIIIA(a))	cry3Aa bt13 cry3A cryC cryIIIa cryIIIA(a)	Bacillus thuringiensis subsp. morrisoni	644		10.1007/bf00330468		3.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843	PF03944;PF00555;PF03945;	cd04085;	IPR008979;IPR038979;IPR005638;IPR005639;IPR036716;IPR036399;IPR001178;		Delta endotoxin family	PTHR37003:SF2;PTHR37003;
P0A381	reviewed	CR3AA_BACTD	Pesticidal crystal protein Cry3Aa (73 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIIIA(a))	cry3Aa bt13 cry3A cryC cryIIIa cryIIIA(a)	Bacillus thuringiensis subsp. san diego	644		10.1016/0378-1119(87)90174-0		3.0	3D-structure;Sporulation;Toxin;Virulence	KW-0002; KW-0749; KW-0800; KW-0843	PF03944;PF00555;PF03945;	cd04085;	IPR008979;IPR038979;IPR005638;IPR005639;IPR036716;IPR036399;IPR001178;		Delta endotoxin family	PTHR37003:SF2;PTHR37003;
P0A382	reviewed	CT1AA_BACTI	Type-1Aa cytolytic delta-endotoxin (27 kDa cytolytic toxin)	cyt1Aa cytA	Bacillus thuringiensis subsp. israelensis	249		10.1016/0022-2836(86)90417-1; 10.1016/0022-2836(86)90418-3; 10.1016/0022-2836(88)90283-5; 10.1093/nar/13.22.8207		3.0	3D-structure;Plasmid;Sporulation;Toxin;Virulence	KW-0002; KW-0614; KW-0749; KW-0800; KW-0843	PF01338;		IPR035918;IPR001615;		Cyt1/cyt2 endotoxin family	
P0A4I3	reviewed	SP0A_BACCR	Stage 0 sporulation protein A	spo0A BC_4170	Bacillus cereus (strain ATCC 14579 / DSM 31 / CCUG 7414 / JCM 2152 / NBRC 15305 / NCIMB 9373 / NCTC 2599 / NRRL B-3711)	264		10.1038/nature01582		3.0	Activator;Calcium;Cytoplasm;DNA-binding;Metal-binding;Phosphoprotein;Reference proteome;Repressor;Sporulation;Transcription;Transcription regulation;Two-component regulatory system	KW-0010; KW-0106; KW-0963; KW-0238; KW-0479; KW-0597; KW-1185; KW-0678; KW-0749; KW-0804; KW-0805; KW-0902	PF00072;PF08769;	cd17561;	IPR050595;IPR011006;IPR016032;IPR001789;IPR014879;IPR012052;IPR036388;	TIGR02875;		PTHR44591:SF14;PTHR44591;
P0A4I4	reviewed	SP0A_BACTU	Stage 0 sporulation protein A	spo0A	Bacillus thuringiensis	264		10.1038/nbt0195-67		3.0	Activator;Calcium;Cytoplasm;DNA-binding;Metal-binding;Phosphoprotein;Repressor;Sporulation;Transcription;Transcription regulation;Two-component regulatory system	KW-0010; KW-0106; KW-0963; KW-0238; KW-0479; KW-0597; KW-0678; KW-0749; KW-0804; KW-0805; KW-0902	PF00072;PF08769;	cd17561;	IPR050595;IPR011006;IPR016032;IPR001789;IPR014879;IPR012052;IPR036388;	TIGR02875;		PTHR44591:SF14;PTHR44591;
P0AE39	reviewed	YPDB_ECOLI	Transcriptional regulatory protein YpdB	ypdB b2381 JW2378	Escherichia coli (strain K12)	244		10.1093/dnares/4.2.91; 10.1126/science.277.5331.1453; 10.1038/msb4100049; 10.1128/jb.02051-12; 10.1128/jb.01554-14		3.0	Cytoplasm;DNA-binding;Phosphoprotein;Reference proteome;Transcription;Transcription regulation;Two-component regulatory system	KW-0963; KW-0238; KW-0597; KW-1185; KW-0804; KW-0805; KW-0902	PF04397;PF00072;	cd17532;	IPR011006;IPR046947;IPR007492;IPR001789;			PTHR37299:SF1;PTHR37299;
P0AEC9	reviewed	DCUS_ECO57	Sensor histidine kinase DcuS (EC 2.7.13.3)	dcuS Z5727 ECs5107	Escherichia coli O157:H7	543		10.1038/35054089; 10.1093/dnares/8.1.11		3.0	ATP-binding;Cell inner membrane;Cell membrane;Kinase;Membrane;Nucleotide-binding;Phosphoprotein;Reference proteome;Transferase;Transmembrane;Transmembrane helix;Two-component regulatory system	KW-0067; KW-0997; KW-1003; KW-0418; KW-0472; KW-0547; KW-0597; KW-1185; KW-0808; KW-0812; KW-1133; KW-0902	PF02518;PF00989;PF17203;PF14689;	cd16915;cd00130;	IPR036890;IPR003594;IPR005467;IPR000014;IPR035965;IPR013767;IPR033463;IPR029151;IPR004358;IPR016120;IPR039506;			PTHR43547:SF10;PTHR43547;
P0C048	reviewed	ESSC_STAAE	Type VII secretion system protein EssC	essC NWMN_0223	Staphylococcus aureus (strain Newman)	1479		10.1128/jb.01000-07; 10.1073/pnas.0405620102		3.0	ATP-binding;Cell membrane;Membrane;Nucleotide-binding;Repeat;Transmembrane;Transmembrane helix;Virulence	KW-0067; KW-1003; KW-0472; KW-0547; KW-0677; KW-0812; KW-1133; KW-0843	PF01580;PF12538;	cd01127;	IPR023839;IPR022206;IPR050206;IPR002543;IPR027417;IPR008984;	TIGR03928;	EssC family	PTHR22683:SF41;PTHR22683;
P0CY50	reviewed	COMX_BACIU	ComX pheromone (Competence pheromone)	comX	Bacillus subtilis	58		10.1046/j.1365-2958.2002.02977.x; 10.1128/jb.183.2.451-460.2001; 10.1128/jb.186.1.15-21.2004		3.0	Competence;Lipoprotein;Pheromone;Prenylation;Secreted;Sporulation	KW-0178; KW-0449; KW-0588; KW-0636; KW-0964; KW-0749	PF05952;		IPR009233;			
P0DB16	reviewed	FTSK_STRP3	DNA translocase FtsK	ftsK SpyM3_0322	Streptococcus pyogenes serotype M3 (strain ATCC BAA-595 / MGAS315)	801		10.1073/pnas.152298499		3.0	ATP-binding;Cell cycle;Cell division;Cell membrane;Chromosome partition;DNA-binding;Membrane;Nucleotide-binding;Transmembrane;Transmembrane helix	KW-0067; KW-0131; KW-0132; KW-1003; KW-0159; KW-0238; KW-0472; KW-0547; KW-0812; KW-1133	PF17854;PF09397;PF01580;	cd01127;	IPR003593;IPR050206;IPR041027;IPR002543;IPR018541;IPR027417;IPR036388;IPR036390;		FtsK/SpoIIIE/SftA family	PTHR22683:SF41;PTHR22683;
P0DB17	reviewed	FTSK_STRPQ	DNA translocase FtsK	ftsK SPs1535	Streptococcus pyogenes serotype M3 (strain SSI-1)	801		10.1101/gr.1096703		3.0	ATP-binding;Cell cycle;Cell division;Cell membrane;Chromosome partition;DNA-binding;Membrane;Nucleotide-binding;Transmembrane;Transmembrane helix	KW-0067; KW-0131; KW-0132; KW-1003; KW-0159; KW-0238; KW-0472; KW-0547; KW-0812; KW-1133	PF17854;PF09397;PF01580;	cd01127;	IPR003593;IPR050206;IPR041027;IPR002543;IPR018541;IPR027417;IPR036388;IPR036390;		FtsK/SpoIIIE/SftA family	PTHR22683:SF41;PTHR22683;
P0DPJ9	reviewed	SLEL_BACAN	Cortical fragment-lytic enzyme (CFLE) (EC 3.2.1.-) (Spore peptidoglycan N-acetylglucosaminidase)	sleL BAS3402	Bacillus anthracis	430		10.1128/jb.01054-08; 10.1099/mic.0.056630-0		3.0	Germination;Glycosidase;Hydrolase;Repeat	KW-0309; KW-0326; KW-0378; KW-0677	PF00704;PF01476;	cd02874;cd00118;	IPR041704;IPR011583;IPR029070;IPR051887;IPR001223;IPR017853;IPR018392;IPR036779;		Glycosyl hydrolase 18 family, Chitinase class II subfamily	PTHR46290;PTHR46290:SF1;
P0DX27	reviewed	CWL_CLODR	Peptidoglycan hydrolase Cwl0971 (EC 3.4.-.-) (Cell wall hydrolase Cwl0971)	CDR20291_0971	Clostridioides difficile (strain R20291) (Peptoclostridium difficile)	427		10.1186/gb-2009-10-9-r102; 10.1111/1462-2920.15529		3.0	Hydrolase;Protease;Repeat;Signal;Thiol protease	KW-0378; KW-0645; KW-0677; KW-0732; KW-0788	PF00877;PF08239;	cd00174;	IPR052354;IPR000064;IPR038765;IPR003646;IPR036028;		Peptidase C40 family	PTHR34408;PTHR34408:SF1;
P0DXG2	reviewed	ABRT_STRLN	HTH-type transcriptional regulator AbrT (Arabinose-responsive TetR type regulator)	abrT SLCG_1979	Streptomyces lincolnensis	246		10.1007/s10295-018-2029-1; 10.1186/s12934-024-02498-8		3.0	Activator;DNA-binding;Repressor;Transcription;Transcription regulation	KW-0010; KW-0238; KW-0678; KW-0804; KW-0805						
P10728	reviewed	SP2AB_BACSU	Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)	spoIIAB BSU23460	Bacillus subtilis (strain 168)	146	O31435	10.1099/00221287-130-8-2147; 10.1099/13500872-142-11-3103; 10.1038/36786; 10.1073/pnas.90.6.2325; 10.1016/0092-8674(93)90520-z		3.0	ATP-binding;Direct protein sequencing;Kinase;Nucleotide-binding;Reference proteome;Serine/threonine-protein kinase;Sporulation;Transferase	KW-0067; KW-0903; KW-0418; KW-0547; KW-1185; KW-0723; KW-0749; KW-0808	PF13581;		IPR050267;IPR010194;IPR036890;IPR003594;	TIGR01925;	Anti-sigma-factor family	PTHR35526:SF7;PTHR35526;
P12254	reviewed	RPSK_BACSU	RNA polymerase sigma-K factor (Sigma-27) (Stage IV sporulation protein CB)	sigK cisB spoIIIC spoIVCB BSU25760/BSU26390	Bacillus subtilis (strain 168)	294	P26937	10.1126/science.2536191; 10.1128/jb.172.2.1092-1098.1990; 10.1128/jb.170.8.3513-3522.1988; 10.1128/jb.170.3.1162-1167.1988; 10.1099/13500872-142-11-3103; 10.1038/36786; 10.1099/mic.0.027839-0; 10.1126/science.2492118		3.0	Direct protein sequencing;DNA-binding;Reference proteome;Sigma factor;Sporulation;Transcription;Transcription regulation	KW-0903; KW-0238; KW-1185; KW-0731; KW-0749; KW-0804; KW-0805	PF04542;PF04545;	cd06171;	IPR001387;IPR014284;IPR000943;IPR007627;IPR007630;IPR013325;IPR013324;IPR050813;	TIGR02937;	Sigma-70 factor family	PTHR30376:SF3;PTHR30376;
P12310	reviewed	DHG_BACSU	Glucose 1-dehydrogenase (EC 1.1.1.47)	gdh BSU03930	Bacillus subtilis (strain 168)	261		10.1128/jb.166.1.238-243.1986; 10.1099/13500872-142-11-3047; 10.1038/36786		3.0	NADP;Oxidoreductase;Reference proteome;Sporulation	KW-0521; KW-0560; KW-1185; KW-0749	PF13561;	cd05358;	IPR036291;IPR020904;IPR050259;IPR002347;		Short-chain dehydrogenases/reductases (SDR) family	PTHR42879;PTHR42879:SF2;
P12963	reviewed	BINA3_LYSSH	Binary larvicide subunit BinA (41.9 kDa insecticidal toxin)	binA	Lysinibacillus sphaericus (Bacillus sphaericus)	370		10.1093/nar/17.18.7516; 10.1128/jb.175.2.510-518.1993		3.0	Disulfide bond;Sporulation;Toxin;Virulence	KW-1015; KW-0749; KW-0800; KW-0843	PF05431;		IPR035992;IPR008872;		Toxin_10 family	
P12964	reviewed	BINB3_LYSSH	Binary larvicide subunit BinB (51.4 kDa insecticidal toxin)	binB sph04	Lysinibacillus sphaericus (Bacillus sphaericus)	448		10.1093/nar/17.18.7516; 10.1128/jb.175.2.510-518.1993		3.0	Disulfide bond;Sporulation;Toxin;Virulence	KW-1015; KW-0749; KW-0800; KW-0843					Toxin_10 family	
P14016	reviewed	COTE_BACSU	Spore coat protein E	cotE BSU17030	Bacillus subtilis (strain 168)	181	P14016; P37963	10.1101/gad.2.8.1047; 10.1038/36786; 10.1016/0022-2836(90)90227-d; 10.1099/13500872-142-8-2021; 10.1101/gad.8.2.234; 10.1128/jb.181.22.7043-7051.1999; 10.1046/j.1365-2958.2001.02708.x		3.0	Reference proteome;Sporulation	KW-1185; KW-0749	PF10628;		IPR018901;		CotE family	
P14892	reviewed	CWLA_BACSP	N-acetylmuramoyl-L-alanine amidase CwlA (EC 3.5.1.28) (Autolysin) (Cell wall hydrolase)	cwlA	Bacillus sp	251		10.1007/bf00337717		3.0	Antimicrobial;Bacteriolytic enzyme;Cell wall biogenesis/degradation;Competence;Hydrolase;Secreted;Signal;Sporulation	KW-0929; KW-0081; KW-0961; KW-0178; KW-0378; KW-0964; KW-0732; KW-0749	PF01510;PF12123;	cd06583;	IPR036505;IPR021976;IPR002502;IPR051206;		N-acetylmuramoyl-L-alanine amidase 2 family	PTHR30417;PTHR30417:SF11;
P15378	reviewed	LEP4_BACSU	Prepilin leader peptidase/N-methyltransferase (Late competence protein ComC) [Includes: Leader peptidase (EC 3.4.23.43) (Prepilin peptidase); N-methyltransferase (EC 2.1.1.-)]	comC BSU28070	Bacillus subtilis (strain 168)	248		10.1128/jb.171.11.6043-6051.1989; 10.1038/36786; 10.1099/mic.0.027839-0; 10.1128/jb.175.2.528-540.1993		3.0	Cell membrane;Competence;Hydrolase;Membrane;Metal-binding;Methyltransferase;Multifunctional enzyme;Protease;Reference proteome;S-adenosyl-L-methionine;Sporulation;Transferase;Transmembrane;Transmembrane helix;Zinc	KW-1003; KW-0178; KW-0378; KW-0472; KW-0479; KW-0489; KW-0511; KW-0645; KW-1185; KW-0949; KW-0749; KW-0808; KW-0812; KW-1133; KW-0862	PF06750;PF01478;		IPR000045;IPR010627;IPR050882;		Peptidase A24 family	PTHR30487:SF0;PTHR30487;
P15874	reviewed	GRPE_BACSU	Protein GrpE (HSP-70 cofactor)	grpE BSU25480	Bacillus subtilis (strain 168)	187		10.1093/nar/18.5.1289; 10.1128/jb.174.10.3300-3310.1992; 10.1099/13500872-142-11-3103; 10.1038/36786; 10.1099/00221287-140-4-741		3.0	Chaperone;Cytoplasm;Direct protein sequencing;Reference proteome;Stress response	KW-0143; KW-0963; KW-0903; KW-1185; KW-0346	PF01025;	cd00446;	IPR000740;IPR013805;IPR009012;		GrpE family	PTHR21237;PTHR21237:SF23;
P16397	reviewed	SUBF_BACSU	Bacillopeptidase F (EC 3.4.21.-) (90 kDa serine proteinase) (Esterase) (RP-I protease)	bpr bpf BSU15300	Bacillus subtilis (strain 168)	1433		10.1128/jb.172.3.1470-1477.1990; 10.1128/jb.172.9.5520-5521.1990; 10.1016/s0021-9258(19)39225-7; 10.1038/36786; 10.1128/jb.170.10.4855-4864.1988; 10.1093/nar/18.3.657; 10.1271/bbb.56.1166		3.0	Direct protein sequencing;Hydrolase;Protease;Reference proteome;Secreted;Serine protease;Signal;Zymogen	KW-0903; KW-0378; KW-0645; KW-1185; KW-0964; KW-0720; KW-0732; KW-0865	PF13715;PF13620;PF09136;PF20773;PF05922;PF00082;	cd07481;	IPR033857;IPR008969;IPR013320;IPR013783;IPR012103;IPR000209;IPR036852;IPR051048;IPR022398;IPR023828;IPR015500;IPR010259;		Peptidase S8 family	PTHR43399:SF5;PTHR43399;
P16449	reviewed	KBAA_BACSU	KinB-signaling pathway activation protein	kbaA ybaM ybxC BSU01560	Bacillus subtilis (strain 168)	198		10.1128/jb.178.4.1178-1186.1996; 10.1099/13500872-142-11-3039; 10.1038/36786; 10.1099/00221287-135-12-3431		3.0	Cell membrane;Membrane;Reference proteome;Sporulation;Transmembrane;Transmembrane helix	KW-1003; KW-0472; KW-1185; KW-0749; KW-0812; KW-1133	PF14089;		IPR024164;			
P16480	reviewed	CR4AA_BACTI	Pesticidal crystal protein Cry4Aa (135 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIVA(a))	cry4Aa cryIVA(a) isrH4	Bacillus thuringiensis subsp. israelensis	1180		10.1080/00021369.1988.10868734; 10.1093/nar/15.17.7195; 10.1016/0014-5793(94)00604-0		3.0	3D-structure;Plasmid;Sporulation;Toxin;Virulence	KW-0002; KW-0614; KW-0749; KW-0800; KW-0843	PF17997;PF21463;PF03944;PF00555;PF03945;	cd04085;	IPR048645;IPR041587;IPR008979;IPR038979;IPR005638;IPR005639;IPR036716;IPR036399;IPR001178;		Delta endotoxin family	PTHR37003:SF2;PTHR37003;
P17531	reviewed	RPOD_MYXXA	RNA polymerase sigma factor RpoD (Sigma-80)	rpoD asgC sigA	Myxococcus xanthus	708		10.1128/jb.172.1.80-85.1990; 10.1111/j.1365-2958.1995.18050943.x		3.0	Cytoplasm;DNA-binding;Fruiting body;Sigma factor;Sporulation;Transcription;Transcription regulation	KW-0963; KW-0238; KW-0293; KW-0731; KW-0749; KW-0804; KW-0805	PF04546;PF03979;PF00140;PF04542;PF04539;PF04545;	cd06171;	IPR014284;IPR000943;IPR009042;IPR007627;IPR007624;IPR007630;IPR007631;IPR007127;IPR042189;IPR013325;IPR013324;IPR012760;IPR050239;IPR028630;IPR036388;	TIGR02393;TIGR02937;	Sigma-70 factor family, RpoD/SigA subfamily	PTHR30603;PTHR30603:SF47;
P17557	reviewed	DHA_GEOSE	Alanine dehydrogenase (EC 1.4.1.1)	ald	Geobacillus stearothermophilus (Bacillus stearothermophilus)	372		10.1021/bi00456a025		3.0	Cytoplasm;Direct protein sequencing;NAD;Nucleotide-binding;Oxidoreductase;Sporulation	KW-0963; KW-0903; KW-0520; KW-0547; KW-0560; KW-0749	PF01262;PF05222;	cd05305;	IPR008141;IPR008143;IPR008142;IPR007886;IPR007698;IPR036291;	TIGR00518;	AlaDH/PNT family	PTHR42795;PTHR42795:SF1;
P17631	reviewed	DNAJ_BACSU	Chaperone protein DnaJ	dnaJ BSU25460	Bacillus subtilis (strain 168)	375		10.1128/jb.174.10.3300-3310.1992; 10.1099/13500872-142-11-3103; 10.1038/36786; 10.1099/mic.0.027839-0; 10.1093/nar/18.8.2172; 10.1128/jb.179.4.1153-1164.1997		3.0	Chaperone;Cytoplasm;DNA replication;Metal-binding;Reference proteome;Repeat;Stress response;Zinc;Zinc-finger	KW-0143; KW-0963; KW-0235; KW-0479; KW-1185; KW-0677; KW-0346; KW-0862; KW-0863	PF00226;PF01556;PF00684;	cd06257;cd10747;cd10719;	IPR012724;IPR002939;IPR001623;IPR018253;IPR008971;IPR001305;IPR036410;IPR036869;	TIGR02349;	DnaJ family	PTHR43096:SF48;PTHR43096;
P17867	reviewed	CISA_BACSU	Putative DNA recombinase (Stage IV sporulation protein CA)	cisA spoIVCA BSU25770	Bacillus subtilis (strain 168)	500		10.1128/jb.172.2.1092-1098.1990; 10.1099/13500872-141-2-323; 10.1099/13500872-142-11-3103; 10.1038/36786; 10.1099/mic.0.027839-0		3.0	Coiled coil;DNA integration;DNA recombination;DNA-binding;Reference proteome	KW-0175; KW-0229; KW-0233; KW-0238; KW-1185	PF07508;PF00239;PF13408;	cd00338;	IPR038109;IPR011109;IPR006118;IPR006119;IPR036162;IPR050639;IPR025827;		Site-specific recombinase resolvase family	PTHR30461:SF23;PTHR30461;
P17869	reviewed	RPSH_BACSU	RNA polymerase sigma-H factor (Sigma-30) (Stage 0 sporulation protein H)	sigH spo0H BSU00980	Bacillus subtilis (strain 168)	218		10.1128/jb.170.3.1054-1062.1988; 10.1038/36786; 10.1111/j.1365-2958.1993.tb00910.x; 10.1016/0022-2836(89)90569-x; 10.1073/pnas.87.20.8075; 10.1002/pmic.201000790		3.0	DNA-binding;Reference proteome;Sigma factor;Sporulation;Transcription;Transcription regulation	KW-0238; KW-1185; KW-0731; KW-0749; KW-0804; KW-0805	PF04542;PF08281;		IPR014284;IPR014218;IPR016371;IPR000943;IPR007627;IPR013249;IPR013325;IPR013324;IPR000792;IPR036388;	TIGR02937;TIGR02859;	Sigma-70 factor family	PTHR30385:SF1;PTHR30385;
P17969	reviewed	CR3BA_BACTO	Pesticidal crystal protein Cry3Ba (75 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIIIB(a))	cry3Ba cryIIIb cryIIIB(a)	Bacillus thuringiensis subsp. tolworthi	659		10.1093/nar/18.5.1305		3.0	Sporulation;Toxin;Virulence	KW-0749; KW-0800; KW-0843	PF03944;PF00555;PF03945;	cd04085;	IPR008979;IPR038979;IPR005638;IPR005639;IPR036716;IPR036399;IPR001178;		Delta endotoxin family	PTHR37003:SF2;PTHR37003;
P19415	reviewed	CR1DA_BACTA	Pesticidal crystal protein Cry1Da (132 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryID(a))	cry1Da bt4 cryID cryID(a)	Bacillus thuringiensis subsp. aizawai	1165		10.1093/nar/18.18.5545		3.0	3D-structure;Sporulation;Toxin;Virulence	KW-0002; KW-0749; KW-0800; KW-0843	PF17997;PF21463;PF03944;PF00555;PF03945;	cd04085;	IPR048645;IPR041587;IPR008979;IPR038979;IPR005638;IPR005639;IPR036716;IPR036399;IPR001178;		Delta endotoxin family	PTHR37003:SF2;PTHR37003;
P21254	reviewed	CR2AB_BACTK	Pesticidal crystal protein Cry2Ab (71 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryIIA(b))	cry2Ab cryB2 cryIIA(b)	Bacillus thuringiensis subsp. kurstaki	633		10.1128/jb.171.2.965-974.1989; 10.1111/j.1365-2958.1990.tb00569.x		3.0	Plasmid;Sporulation;Toxin;Virulence	KW-0614; KW-0749; KW-0800; KW-0843	PF03944;PF09131;PF03945;		IPR008979;IPR038979;IPR005638;IPR005639;IPR036716;IPR015214;IPR036399;		Delta endotoxin family	PTHR37003:SF2;PTHR37003;
P21256	reviewed	C11AA_BACTI	Pesticidal crystal protein Cry11Aa (72 kDa crystal protein) (Crystaline entomocidal protoxin) (Insecticidal delta-endotoxin CryXIA(a))	cry11Aa cryD cryIVd cryXIA(a)	Bacillus thuringiensis subsp. israelensis	643		10.1128/jb.170.10.4732-4738.1988; 10.1128/jb.171.1.521-530.1989		3.0	3D-structure;Sporulation;Toxin;Virulence	KW-0002; KW-0749; KW-0800; KW-0843	PF03945;		IPR038979;IPR005639;IPR036716;		Delta endotoxin family	PTHR37003:SF2;PTHR37003;
